,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
7155,1,2.0,"$ 195,766",Classroom Teacher,WHOLE CLASS,K375,2020
7156,2,2.0,"$ 189,668",Classroom Teacher,WHOLE CLASS,K375,2020
7157,23,1.0,"$ 93,445",Classroom Teacher,SELF-CONTAINED SP ED,K375,2020
7158,3,1.0,"$ 110,492",Classroom Teacher,WHOLE CLASS,K375,2020
7159,4,1.0,"$ 93,445",Classroom Teacher,ICT - General Ed Teacher,K375,2020
7160,4,1.0,"$ 132,187",Classroom Teacher,ICT - Special Ed Teacher,K375,2020
7161,4,1.0,"$ 93,445",Classroom Teacher,WHOLE CLASS,K375,2020
7162,4,3.0,"$ 319,077",Classroom Teacher,Sub-Total,K375,2020
7163,45,1.0,"$ 97,079",Classroom Teacher,SELF-CONTAINED SP ED,K375,2020
7164,5,1.0,"$ 96,672",Classroom Teacher,ICT - General Ed Teacher,K375,2020
7165,5,1.0,"$ 93,445",Classroom Teacher,WHOLE CLASS,K375,2020
7166,5,2.0,"$ 190,117",Classroom Teacher,Sub-Total,K375,2020
7167,ARTS,1.0,"$ 113,343",Elementary Cluster/Quota,WHOLE CLASS,K375,2020
7168,COMPUTER LAB,1.0,"$ 102,232",Elementary Cluster/Quota,SUPPLEMENTARY,K375,2020
7169,ESL,1.0,"$ 93,445",Elementary Cluster/Quota,PUSH IN/PULL OUT,K375,2020
7170,ESL,1.0,"$ 132,187",Elementary Cluster/Quota,WHOLE CLASS,K375,2020
7171,ESL,2.0,"$ 225,632",Elementary Cluster/Quota,Sub-Total,K375,2020
7172,PHYSICAL EDUCATION,1.0,"$ 103,131",Elementary Cluster/Quota,WHOLE CLASS,K375,2020
7173,SCIENCE - GENERAL SCIENCE,1.0,"$ 93,445",Elementary Cluster/Quota,SUBJECT SPECIFIC,K375,2020
7174,OCCUPATIONAL THERAPY,1.0,"$ 100,518",Special Needs - Support Services,PULL-OUT - Special Ed,K375,2020
7175,OCCUPATIONAL THERAPY,1.0,"$ 77,181",Special Needs - Support Services,PULL-OUT -all students,K375,2020
7176,OCCUPATIONAL THERAPY,2.0,"$ 177,699",Special Needs - Support Services,Sub-Total,K375,2020
7177,PHYSICAL THERAPY,1.0,"$ 101,206",Special Needs - Support Services,PULL-OUT -all students,K375,2020
7178,SETSS,1.0,"$ 93,445",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2020
7179,SPEECH,1.0,"$ 96,693",Special Needs - Support Services,PULL-OUT - Special Ed,K375,2020
7180,SPEECH,3.0,"$ 168,410",Special Needs - Support Services,PULL-OUT -all students,K375,2020
7181,SPEECH,4.0,"$ 265,103",Special Needs - Support Services,Sub-Total,K375,2020
7182,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 89,253",Guidance/Social Workers,,K375,2020
7183,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 30,923",SBST,,K375,2020
7184,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 145,632",SBST,,K375,2020
7185,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,"$ 103,102",SBST,,K375,2020
7186,504,1.0,"$ 37,437",Paraprofessionals,,K375,2020
7187,IEP-CRISIS MANAGEMENT(CIT),10.0,"$ 421,204",Paraprofessionals,,K375,2020
7188,PRE-K,6.0,"$ 370,175",Paraprofessionals,,K375,2020
7189,School Aides and Other Support Staff,0.0,"$ 89,610",School Aides and Other Support Staff,,K375,2020
7190,504,,$ 760,Per Diem,,K375,2020
7191,ABSENCE COVERAGE,,"$ 48,454",Per Diem,,K375,2020
7192,IEP-CRISIS MANAGEMENT(CIT),,"$ 12,460",Per Diem,,K375,2020
7193,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 95,753",Per Session,,K375,2020
7194,PARENT INVOLVEMENT,,$ 305,Per Session,,K375,2020
7195,PROFESSIONAL DEVELOPMENT,,"$ 10,893",Per Session,,K375,2020
7196,SUMMER STUDENT PROGRAMS,,"$ 5,634",Per Session,,K375,2020
7197,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 30,272",OTPS,,K375,2020
7198,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 7,521",OTPS,,K375,2020
7199,EDUCATIONAL SOFTWARE,,"$ 3,026",OTPS,,K375,2020
7200,EQUIPMENT - GENERAL,,"$ 3,059",OTPS,,K375,2020
7201,FURNITURE (OBJECT 300),,"$ 21,796",OTPS,,K375,2020
7202,LIBRARY BOOKS,,"$ 1,876",OTPS,,K375,2020
7203,NON-CONTRACTUAL SERVICES,,"$ 12,983",OTPS,,K375,2020
7204,OFFICE TEMP SERVICES - CONTRACTUAL,,"$ 2,565",OTPS,,K375,2020
7205,SUPPLIES - GENERAL,,"$ 108,138",OTPS,,K375,2020
7206,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 2,164",OTPS,,K375,2020
7207,TEXTBOOKS,,"$ 10,142",OTPS,,K375,2020
7208,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 5,187",OTPS,,K375,2020
7209,Not Available,,"$ 7,785",Sixth period coverage,,K375,2020
7210,People Working Partial Year,,"$ 364,958",People Working Partial Year,,K375,2020
7211,Main School,59.0,"$ 5,804,560",School Site,,K375,2020
7212,HEAD OF SCHOOL,1.0,"$ 146,606",Leadership,,K375,2019
7213,ASST HEAD OF SCHOOL,2.0,"$ 265,825",Leadership,,K375,2019
7214,PARENT COORDINATOR,1.0,"$ 47,078",Coordinator/Supervisor/Dean,,K375,2019
7215,SCHOOL SECRETARY,1.0,"$ 61,464",Secretary,,K375,2019
7216,Pre K,1.0,"$ 130,449",Classroom Teacher,ICT - General Ed Teacher,K375,2019
7217,Pre K,1.0,"$ 130,449",Classroom Teacher,ICT - Special Ed Teacher,K375,2019
7218,Pre K,1.0,"$ 130,449",Classroom Teacher,WHOLE CLASS,K375,2019
7219,Pre K,3.0,"$ 391,347",Classroom Teacher,Sub-Total,K375,2019
7220,K,3.0,"$ 276,708",Classroom Teacher,WHOLE CLASS,K375,2019
7221,"K,1,2,3,4,5",1.0,"$ 130,446",Classroom Teacher,WHOLE CLASS,K375,2019
7222,1,1.0,"$ 92,236",Classroom Teacher,ICT - General Ed Teacher,K375,2019
7223,2,1.0,"$ 95,167",Classroom Teacher,ICT - Special Ed Teacher,K375,2019
7224,2,1.0,"$ 92,236",Classroom Teacher,WHOLE CLASS,K375,2019
7225,2,2.0,"$ 187,403",Classroom Teacher,Sub-Total,K375,2019
7226,"2, 3",1.0,"$ 127,213",Classroom Teacher,SELF-CONTAINED SP ED,K375,2019
7227,3,2.0,"$ 184,472",Classroom Teacher,WHOLE CLASS,K375,2019
7228,4,1.0,"$ 92,236",Classroom Teacher,ICT - General Ed Teacher,K375,2019
7229,4,1.0,"$ 96,313",Classroom Teacher,SELF-CONTAINED SP ED,K375,2019
7230,4,2.0,"$ 222,685",Classroom Teacher,WHOLE CLASS,K375,2019
7231,4,4.0,"$ 411,234",Classroom Teacher,Sub-Total,K375,2019
7232,5,1.0,"$ 92,236",Classroom Teacher,ICT - General Ed Teacher,K375,2019
7233,5,1.0,"$ 92,236",Classroom Teacher,ICT - Special Ed Teacher,K375,2019
7234,5,1.0,"$ 92,236",Classroom Teacher,SELF-CONTAINED SP ED,K375,2019
7235,5,2.0,"$ 184,472",Classroom Teacher,WHOLE CLASS,K375,2019
7236,5,5.0,"$ 461,180",Classroom Teacher,Sub-Total,K375,2019
7237,ARTS,1.0,"$ 106,883",Elementary Cluster/Quota,WHOLE CLASS,K375,2019
7238,COMPUTER LAB,1.0,"$ 105,229",Elementary Cluster/Quota,SUPPLEMENTARY,K375,2019
7239,ESL,1.0,"$ 89,323",Elementary Cluster/Quota,SUBJECT SPECIFIC,K375,2019
7240,PHYSICAL EDUCATION,2.0,"$ 184,472",Elementary Cluster/Quota,WHOLE CLASS,K375,2019
7241,OCCUPATIONAL THERAPY,1.0,"$ 75,145",Special Needs - Support Services,PULL-OUT -all students,K375,2019
7242,SETSS,1.0,"$ 92,236",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2019
7243,SPEECH,2.0,"$ 187,274",Special Needs - Support Services,PULL-OUT -all students,K375,2019
7244,SPEECH,1.0,"$ 93,637",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2019
7245,SPEECH,3.0,"$ 280,911",Special Needs - Support Services,Sub-Total,K375,2019
7246,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 90,119",Guidance/Social Workers,,K375,2019
7247,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 29,558",SBST,,K375,2019
7248,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 140,158",SBST,,K375,2019
7249,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,"$ 99,227",SBST,,K375,2019
7250,IEP-ALTERNATE PLACEMENT,2.0,"$ 72,040",Paraprofessionals,,K375,2019
7251,IEP-CRISIS MANAGEMENT(CIT),13.0,"$ 539,530",Paraprofessionals,,K375,2019
7252,IEP-TOILETING,1.0,"$ 36,020",Paraprofessionals,,K375,2019
7253,PRE-K,3.0,"$ 175,911",Paraprofessionals,,K375,2019
7254,School Aides and Other Support Staff,0.0,"$ 49,837",School Aides and Other Support Staff,,K375,2019
7255,TEACHER CENTER,1.0,"$ 130,449",Professional/Curriculum Development,,K375,2019
7256,ABSENCE COVERAGE,,"$ 59,156",Per Diem,,K375,2019
7257,IEP-AWAITING PLACEMENT,,"$ 60,121",Per Diem,,K375,2019
7258,IEP-CRISIS MANAGEMENT(CIT),,"$ 2,000",Per Diem,,K375,2019
7259,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 51,545",Per Session,,K375,2019
7260,PARENT INVOLVEMENT,,$ 938,Per Session,,K375,2019
7261,SUMMER STUDENT PROGRAMS,,"$ 3,056",Per Session,,K375,2019
7262,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 6,741",OTPS,,K375,2019
7263,EDUCATIONAL SOFTWARE,,"$ 5,420",OTPS,,K375,2019
7264,EQUIPMENT - GENERAL,,"$ 7,452",OTPS,,K375,2019
7265,LIBRARY BOOKS,,"$ 2,243",OTPS,,K375,2019
7266,NON-CONTRACTUAL SERVICES,,"$ 28,166",OTPS,,K375,2019
7267,OFFICE TEMP SERVICES - CONTRACTUAL,,"$ 1,985",OTPS,,K375,2019
7268,SUPPLIES - GENERAL,,"$ 90,521",OTPS,,K375,2019
7269,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 2,900",OTPS,,K375,2019
7270,TEXTBOOKS,,"$ 5,522",OTPS,,K375,2019
7271,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 4,200",OTPS,,K375,2019
7272,Not Available,,"$ 21,575",Sixth period coverage,,K375,2019
7273,People Working Partial Year,,"$ 118,213",People Working Partial Year,,K375,2019
7274,CB GE All Other Salaries Set Aside,,"$ 5,799",Setasides,,K375,2019
7275,CB GE Classroom Teachers Set Aside,,"$ 17,836",Setasides,,K375,2019
7276,CB GE Pupil Support Services Set Aside,,$ 174,Setasides,,K375,2019
7277,CB Pre-K GE Set Aside,,"$ 5,307",Setasides,,K375,2019
7278,CB Pre-K SE Set Aside,,"$ 1,009",Setasides,,K375,2019
7279,CB SE All Other Salaries Set Aside,,"$ 6,294",Setasides,,K375,2019
7280,CB SE Classroom Teachers Set Aside,,"$ 3,074",Setasides,,K375,2019
7281,CB SE Pupil Support Services Set Aside,,"$ 21,266",Setasides,,K375,2019
7282,Main School,60.0,"$ 5,612,773",School Site,,K375,2019
7283,HEAD OF SCHOOL,1.0,"$ 138,659",Leadership,,K375,2018
7284,ASST HEAD OF SCHOOL,1.0,"$ 118,942",Leadership,,K375,2018
7285,INTERIM ACTING - ASST. PRINCIPAL,1.0,"$ 121,342",Leadership,,K375,2018
7286,PARENT COORDINATOR,1.0,"$ 47,078",Coordinator/Supervisor/Dean,,K375,2018
7287,STUDENT ACTIVITIES ADVISOR,1.0,"$ 98,111",Coordinator/Supervisor/Dean,,K375,2018
7288,SCHOOL SECRETARY,2.0,"$ 102,972",Secretary,,K375,2018
7289,Pre K,1.0,"$ 123,658",Classroom Teacher,ICT - General Ed Teacher,K375,2018
7290,Pre K,2.0,"$ 162,536",Classroom Teacher,WHOLE CLASS,K375,2018
7291,Pre K,3.0,"$ 286,194",Classroom Teacher,Sub-Total,K375,2018
7292,K,4.0,"$ 352,704",Classroom Teacher,WHOLE CLASS,K375,2018
7293,"K,1",1.0,"$ 88,176",Classroom Teacher,SELF-CONTAINED SP ED,K375,2018
7294,1,1.0,"$ 88,176",Classroom Teacher,ICT - General Ed Teacher,K375,2018
7295,1,1.0,"$ 114,372",Classroom Teacher,WHOLE CLASS,K375,2018
7296,1,2.0,"$ 202,548",Classroom Teacher,Sub-Total,K375,2018
7297,2,1.0,"$ 88,176",Classroom Teacher,ICT - Special Ed Teacher,K375,2018
7298,2,1.0,"$ 88,176",Classroom Teacher,WHOLE CLASS,K375,2018
7299,2,2.0,"$ 176,352",Classroom Teacher,Sub-Total,K375,2018
7300,23,1.0,"$ 123,658",Classroom Teacher,SELF-CONTAINED SP ED,K375,2018
7301,3,2.0,"$ 191,352",Classroom Teacher,WHOLE CLASS,K375,2018
7302,4,1.0,"$ 88,176",Classroom Teacher,ICT - General Ed Teacher,K375,2018
7303,4,1.0,"$ 123,658",Classroom Teacher,ICT - Special Ed Teacher,K375,2018
7304,4,1.0,"$ 102,256",Classroom Teacher,SELF-CONTAINED SP ED,K375,2018
7305,4,1.0,"$ 88,176",Classroom Teacher,WHOLE CLASS,K375,2018
7306,4,4.0,"$ 402,266",Classroom Teacher,Sub-Total,K375,2018
7307,5,1.0,"$ 88,176",Classroom Teacher,ICT - General Ed Teacher,K375,2018
7308,5,1.0,"$ 88,176",Classroom Teacher,ICT - Special Ed Teacher,K375,2018
7309,5,1.0,"$ 88,176",Classroom Teacher,SELF-CONTAINED SP ED,K375,2018
7310,5,2.0,"$ 183,852",Classroom Teacher,WHOLE CLASS,K375,2018
7311,5,5.0,"$ 448,380",Classroom Teacher,Sub-Total,K375,2018
7312,COMPUTER LAB,2.0,"$ 184,690",Elementary Cluster/Quota,SUPPLEMENTARY,K375,2018
7313,MUSIC,1.0,"$ 123,658",Elementary Cluster/Quota,SUBJECT SPECIFIC,K375,2018
7314,PHYSICAL EDUCATION,1.0,"$ 98,672",Elementary Cluster/Quota,WHOLE CLASS,K375,2018
7315,ESL,2.0,"$ 213,062",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2018
7316,OCCUPATIONAL THERAPY,1.0,"$ 72,148",Special Needs - Support Services,PULL-OUT -all students,K375,2018
7317,SETSS,1.0,"$ 88,176",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2018
7318,SPEECH,2.0,"$ 110,976",Special Needs - Support Services,PULL-OUT -all students,K375,2018
7319,SPEECH,1.0,"$ 90,166",Special Needs - Support Services,PUSH IN/PULL OUT,K375,2018
7320,SPEECH,3.0,"$ 201,142",Special Needs - Support Services,Sub-Total,K375,2018
7321,GUIDANCE COUNSELOR BILINGUAL,1.0,"$ 85,654",Guidance/Social Workers,,K375,2018
7322,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 28,737",SBST,,K375,2018
7323,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 115,741",SBST,,K375,2018
7324,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,"$ 95,255",SBST,,K375,2018
7325,IEP-ALTERNATE PLACEMENT,2.0,"$ 69,398",Paraprofessionals,,K375,2018
7326,IEP-CRISIS MANAGEMENT(CIT),14.0,"$ 558,057",Paraprofessionals,,K375,2018
7327,IEP-HEALTH,2.0,"$ 69,398",Paraprofessionals,,K375,2018
7328,PRE-K,3.0,"$ 137,583",Paraprofessionals,,K375,2018
7329,School Aides and Other Support Staff,0.0,"$ 106,929",School Aides and Other Support Staff,,K375,2018
7330,TEACHER CENTER,1.0,"$ 112,538",Professional/Curriculum Development,,K375,2018
7331,ABSENCE COVERAGE,,"$ 39,938",Per Diem,,K375,2018
7332,CURRICULUM DEVELOPMENT,,"$ 2,500",Per Diem,,K375,2018
7333,IEP-AWAITING PLACEMENT,,"$ 20,861",Per Diem,,K375,2018
7334,IEP-CRISIS MANAGEMENT(CIT),,"$ 25,712",Per Diem,,K375,2018
7335,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 17,053",Per Session,,K375,2018
7336,PARENT INVOLVEMENT,,$ 996,Per Session,,K375,2018
7337,PUPIL PERSONNEL SERVICES,,"$ 4,434",Per Session,,K375,2018
7338,SUMMER STUDENT PROGRAMS,,"$ 9,085",Per Session,,K375,2018
7339,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 8,975",OTPS,,K375,2018
7340,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 1,828",OTPS,,K375,2018
7341,EDUCATIONAL SOFTWARE,,"$ 3,346",OTPS,,K375,2018
7342,EQUIPMENT - GENERAL,,"$ 3,384",OTPS,,K375,2018
7343,LIBRARY BOOKS,,"$ 2,485",OTPS,,K375,2018
7344,NON-CONTRACTUAL SERVICES,,"$ 25,069",OTPS,,K375,2018
7345,OFFICE TEMP SERVICES - CONTRACTUAL,,"$ 2,241",OTPS,,K375,2018
7346,SUPPLIES - GENERAL,,"$ 30,300",OTPS,,K375,2018
7347,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 2,841",OTPS,,K375,2018
7348,TEXTBOOKS,,"$ 34,028",OTPS,,K375,2018
7349,TRANSPORTATION OF STAFF - NON-CONTRACT,,"$ 1,878",OTPS,,K375,2018
7350,Not Available,,"$ 15,334",Sixth period coverage,,K375,2018
7351,People Working Partial Year,,"$ 181,122",People Working Partial Year,,K375,2018
7352,Main School,67.0,"$ 5,692,982",School Site,,K375,2018
7353,HEAD OF SCHOOL,1.0,"$ 191,576",Leadership,,K354,2022
7354,ASST HEAD OF SCHOOL,1.0,"$ 148,592",Leadership,,K354,2022
7355,INTERIM ACTING - ASST. PRINCIPAL,1.0,"$ 48,970",Leadership,,K354,2022
7356,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,K354,2022
7357,F-Status - School Secretary,0.0,"$ 21,666",Secretary,,K354,2022
7358,School Secretary,1.0,"$ 37,671",Secretary,,K354,2022
7359,ENGLISH LANGUAGE ARTS,1.0,"$ 91,107",Homeroom Teacher,SELF-CONTAINED SP ED,K354,2022
7360,ENGLISH LANGUAGE ARTS,3.0,"$ 258,285",Homeroom Teacher,WHOLE CLASS,K354,2022
7361,ENGLISH LANGUAGE ARTS,4.0,"$ 349,392",Homeroom Teacher,Sub-Total,K354,2022
7362,HUMANITIES,1.0,"$ 91,107",Homeroom Teacher,WHOLE CLASS,K354,2022
7363,MATH,3.0,"$ 273,321",Homeroom Teacher,WHOLE CLASS,K354,2022
7364,SCIENCE - CHEMISTRY,1.0,"$ 91,107",Homeroom Teacher,WHOLE CLASS,K354,2022
7365,SPECIAL EDUCATION (OR ALL SUBJECTS),5.0,"$ 440,515",Homeroom Teacher,ICT - Special Ed Teacher,K354,2022
7366,ARTS,1.0,"$ 91,107",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7367,DANCE ALL OTHER,1.0,"$ 91,107",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7368,ENGLISH LANGUAGE ARTS,1.0,"$ 53,115",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7369,ESL,1.0,"$ 91,107",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7370,FL - CHINESE,1.0,"$ 91,107",Cluster/Quota Teacher,SUBJECT SPECIFIC,K354,2022
7371,LIBRARY,1.0,"$ 91,107",Cluster/Quota Teacher,SUBJECT SPECIFIC,K354,2022
7372,PHYSICAL EDUCATION,1.0,"$ 91,107",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7373,SCIENCE - GENERAL SCIENCE,1.0,"$ 98,607",Cluster/Quota Teacher,WHOLE CLASS,K354,2022
7374,SETSS,1.0,"$ 94,077",Special Needs - Support Services,PULL-OUT -all students,K354,2022
7375,SPEECH,1.0,"$ 103,083",Special Needs - Support Services,PULL-OUT -all students,K354,2022
7376,Guidance Counselor,1.0,"$ 121,785",Guidance/Social Workers,,K354,2022
7377,DC 37 Para More Than 20 Hrs,0.0,"$ 30,267",SBST,,K354,2022
7378,School Psychologist,1.0,"$ 154,225",SBST,,K354,2022
7379,Class Mgr,0.0,"$ 1,750",Paraprofessionals,,K354,2022
7380,CLASSROOM - Special Ed,1.0,"$ 41,003",Paraprofessionals,,K354,2022
7381,IEP-CRISIS MANAGEMENT(CIT),3.0,"$ 146,009",Paraprofessionals,,K354,2022
7382,IEP-HEALTH,1.0,$ 279,Paraprofessionals,,K354,2022
7383,School Aides and Other Support Staff,0.0,"$ 53,454",School Aides and Other Support Staff,,K354,2022
7384,OUTREACH,0.0,"$ 30,267",Family Workers,,K354,2022
7385,STAFF DEVELOPMENT,0.0,"$ 19,129",Professional/Curriculum Development,,K354,2022
7386,TEACHER CENTER,0.0,"$ 19,294",Professional/Curriculum Development,,K354,2022
7387,ABSENCE COVERAGE,,"$ 238,785",Per Diem,,K354,2022
7388,IEP-CRISIS MANAGEMENT(CIT),,"$ 10,640",Per Diem,,K354,2022
7389,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 373,564",Per Session,,K354,2022
7390,PARENT INVOLVEMENT,,"$ 3,147",Per Session,,K354,2022
7391,PROFESSIONAL DEVELOPMENT,,"$ 29,250",Per Session,,K354,2022
7392,PUPIL PERSONNEL SERVICES,,"$ 2,626",Per Session,,K354,2022
7393,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 32,824",Per Session,,K354,2022
7394,SUMMER STUDENT PROGRAMS,,"$ 112,396",Per Session,,K354,2022
7395,Curriculum & Staff Development Contracts,,"$ 20,000",OTPS,,K354,2022
7396,Data Processing Repair - Contractual,,"$ 3,623",OTPS,,K354,2022
7397,Educational Consultants,,"$ 119,077",OTPS,,K354,2022
7398,Educational Software,,"$ 73,921",OTPS,,K354,2022
7399,Equipment - General,,"$ 18,456",OTPS,,K354,2022
7400,Furniture Object 300,,"$ 30,000",OTPS,,K354,2022
7401,Library Books,,"$ 4,720",OTPS,,K354,2022
7402,Non-Contractual Services,,"$ 19,649",OTPS,,K354,2022
7403,Non-DP Equipment Repair,,"$ 21,748",OTPS,,K354,2022
7404,Supplies - General,,"$ 204,275",OTPS,,K354,2022
7405,Textbooks,,"$ 40,750",OTPS,,K354,2022
7406,Transportation of Pupils - Contractual,,"$ 20,000",OTPS,,K354,2022
7407,Transportation of Staff - Non-Contract,,"$ 12,548",OTPS,,K354,2022
7408,Facilities Work Set Aside,,"$ 235,514",Setasides,,K354,2022
7409,School Funded Copier,,"$ 8,568",Setasides,,K354,2022
7410,Not Available,,"$ 84,241",Sixth period coverage,,K354,2022
7411,People Working Partial Year,,"$ 306,760",People Working Partial Year,,K354,2022
7412,Main School,36.0,"$ 5,277,953",School Site,,K354,2022
7413,HEAD OF SCHOOL,1.0,"$ 184,727",Leadership,,K354,2021
7414,ASST HEAD OF SCHOOL,2.0,"$ 269,924",Leadership,,K354,2021
7415,PARENT COORDINATOR,1.0,"$ 43,968",Coordinator/Supervisor/Dean,,K354,2021
7416,F-Status - School Secretary,0.0,"$ 15,400",Secretary,,K354,2021
7417,ENGLISH LANGUAGE ARTS,1.0,"$ 89,624",Homeroom Teacher,SELF-CONTAINED SP ED,K354,2021
7418,ENGLISH LANGUAGE ARTS,4.0,"$ 364,268",Homeroom Teacher,WHOLE CLASS,K354,2021
7419,ENGLISH LANGUAGE ARTS,5.0,"$ 453,892",Homeroom Teacher,Sub-Total,K354,2021
7420,HUMANITIES,1.0,"$ 89,624",Homeroom Teacher,WHOLE CLASS,K354,2021
7421,MATH,5.0,"$ 458,543",Homeroom Teacher,WHOLE CLASS,K354,2021
7422,SCIENCE - CHEMISTRY,1.0,"$ 89,624",Homeroom Teacher,WHOLE CLASS,K354,2021
7423,SOCIAL STUDIES,1.0,"$ 89,624",Homeroom Teacher,WHOLE CLASS,K354,2021
7424,SPECIAL EDUCATION (OR ALL SUBJECTS),4.0,"$ 380,869",Homeroom Teacher,ICT - Special Ed Teacher,K354,2021
7425,ARTS,1.0,"$ 89,624",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7426,DANCE ALL OTHER,1.0,"$ 89,624",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7427,ESL,1.0,"$ 89,624",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7428,FL - CHINESE,1.0,"$ 89,624",Cluster/Quota Teacher,SUBJECT SPECIFIC,K354,2021
7429,PHYSICAL EDUCATION,2.0,"$ 179,248",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7430,READING,0.0,"$ 17,061",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7431,SCIENCE - GENERAL SCIENCE,1.0,"$ 95,162",Cluster/Quota Teacher,WHOLE CLASS,K354,2021
7432,SETSS,1.0,"$ 93,147",Special Needs - Support Services,PULL-OUT -all students,K354,2021
7433,SPEECH,1.0,"$ 99,109",Special Needs - Support Services,PULL-OUT -all students,K354,2021
7434,Guidance Counselor,1.0,"$ 116,079",Guidance/Social Workers,,K354,2021
7435,DC 37 Para More Than 20 Hrs,0.0,"$ 29,662",SBST,,K354,2021
7436,School Psychologist,1.0,"$ 147,128",SBST,,K354,2021
7437,Class Mgr,0.0,"$ 1,231",Paraprofessionals,,K354,2021
7438,CLASSROOM - Special Ed,2.0,"$ 87,490",Paraprofessionals,,K354,2021
7439,IEP-CRISIS MANAGEMENT(CIT),4.0,"$ 166,085",Paraprofessionals,,K354,2021
7440,IEP-HEALTH,1.0,"$ 63,666",Paraprofessionals,,K354,2021
7441,School Aides and Other Support Staff,0.0,"$ 33,241",School Aides and Other Support Staff,,K354,2021
7442,OUTREACH,0.0,"$ 29,662",Family Workers,,K354,2021
7443,ABSENCE COVERAGE,,"$ 88,965",Per Diem,,K354,2021
7444,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 157,995",Per Session,,K354,2021
7445,Counseling - Mandated,,$ 566,Per Session,,K354,2021
7446,PARENT INVOLVEMENT,,"$ 3,207",Per Session,,K354,2021
7447,PROFESSIONAL DEVELOPMENT,,"$ 1,437",Per Session,,K354,2021
7448,PUPIL PERSONNEL SERVICES,,"$ 9,063",Per Session,,K354,2021
7449,SPECIAL ED INSTRUCTIONAL PGMS,,"$ 20,949",Per Session,,K354,2021
7450,SUMMER STUDENT PROGRAMS,,"$ 127,818",Per Session,,K354,2021
7451,Curriculum & Staff Development Contracts,,"$ 29,990",OTPS,,K354,2021
7452,Data Processing Repair - Contractual,,"$ 2,277",OTPS,,K354,2021
7453,Educational Software,,"$ 74,410",OTPS,,K354,2021
7454,Equipment - General,,"$ 44,753",OTPS,,K354,2021
7455,Furniture Object 300,,"$ 21,221",OTPS,,K354,2021
7456,Library Books,,"$ 97,316",OTPS,,K354,2021
7457,Non-Contractual Services,,"$ 10,317",OTPS,,K354,2021
7458,Supplies - General,,"$ 92,442",OTPS,,K354,2021
7459,Textbooks,,"$ 2,220",OTPS,,K354,2021
7460,School Funded Copier,,"$ 8,299",Setasides,,K354,2021
7461,People Working Partial Year,,"$ 69,722",People Working Partial Year,,K354,2021
7462,Main School,39.0,"$ 4,455,629",School Site,,K354,2021
7463,HEAD OF SCHOOL,1.0,"$ 176,947",Leadership,,K354,2020
7464,ASST HEAD OF SCHOOL,2.0,"$ 237,317",Leadership,,K354,2020
7465,PARENT COORDINATOR,1.0,"$ 43,558",Coordinator/Supervisor/Dean,,K354,2020
