,location_code,fiscal_year,budget_category,budget_assignment,num_positions,service_type,amount
4,M200,2018,Classroom Teacher,"K, 1",1.0,ICT - General Ed Teacher,"$ 92,683"
5,M200,2018,Classroom Teacher,"K, 1",1.0,SELF-CONTAINED SP ED,"$ 92,683"
7,M200,2018,Classroom Teacher,1,1.0,ICT - Special Ed Teacher,"$ 92,683"
8,M200,2018,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 250,928"
10,M200,2018,Classroom Teacher,2,1.0,ICT - General Ed Teacher,"$ 125,421"
11,M200,2018,Classroom Teacher,2,1.0,ICT - Special Ed Teacher,"$ 96,185"
12,M200,2018,Classroom Teacher,2,1.0,REDUCED CLASS SIZE,"$ 109,171"
13,M200,2018,Classroom Teacher,2,1.0,SELF-CONTAINED SP ED,"$ 92,683"
14,M200,2018,Classroom Teacher,2,1.0,WHOLE CLASS,"$ 92,683"
16,M200,2018,Classroom Teacher,3,2.0,REDUCED CLASS SIZE,"$ 225,884"
17,M200,2018,Classroom Teacher,3,1.0,WHOLE CLASS,"$ 92,683"
19,M200,2018,Classroom Teacher,34,1.0,WHOLE CLASS,"$ 100,142"
20,M200,2018,Classroom Teacher,4,1.0,REDUCED CLASS SIZE,"$ 92,683"
21,M200,2018,Classroom Teacher,4,2.0,SELF-CONTAINED SP ED,"$ 185,366"
22,M200,2018,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 129,979"
24,M200,2018,Classroom Teacher,"4, 5",1.0,ICT - General Ed Teacher,"$ 93,407"
25,M200,2018,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 129,979"
26,M200,2018,Classroom Teacher,5,2.0,ICT - Special Ed Teacher,"$ 185,366"
27,M200,2018,Classroom Teacher,5,1.0,SELF-CONTAINED SP ED,"$ 92,683"
28,M200,2018,Classroom Teacher,5,2.0,WHOLE CLASS,"$ 185,366"
0,M200,2018,Elementary Cluster/Quota,ESL,1.0,PULL-OUT -all students,"$ 129,979"
1,M200,2018,Elementary Cluster/Quota,LITERACY,1.0,WHOLE CLASS,"$ 99,456"
2,M200,2018,Elementary Cluster/Quota,MUSIC,1.0,WHOLE CLASS,"$ 100,142"
3,M200,2018,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 100,142"
4,M200,2018,Elementary Cluster/Quota,SCIENCE - GENERAL SCIENCE,1.0,WHOLE CLASS,"$ 97,800"
0,M200,2018,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 72,692"
1,M200,2018,Special Needs - Support Services,SETSS,1.0,PULL-OUT - Special Ed,"$ 92,683"
2,M200,2018,Special Needs - Support Services,SPEECH,2.0,PULL-OUT -all students,"$ 180,332"
3,M200,2018,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 90,166"
0,M200,2018,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 101,275"
0,M200,2018,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 22,579"
1,M200,2018,SBST,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),2.0,,"$ 191,227"
2,M200,2018,SBST,SCHOOL SOCIAL WORKER,1.0,,"$ 95,255"
3,M200,2018,SBST,SCHOOL SOCIAL WORKERS (MANDATED SERVICES),1.0,,"$ 95,255"
0,M200,2018,Paraprofessionals,CLASSROOM - Special Ed,2.0,,"$ 70,746"
1,M200,2018,Paraprofessionals,IEP-ADAPTIVE PHYSICAL EDUCATION,1.0,,"$ 34,699"
2,M200,2018,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),2.0,,"$ 90,458"
3,M200,2018,Paraprofessionals,PRE-K,3.0,,"$ 167,450"
0,M200,2018,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 145,112"
0,M200,2018,Professional/Curriculum Development,LITERACY COACH,1.0,,"$ 92,683"
1,M200,2018,Professional/Curriculum Development,MATH COACH,1.0,,"$ 96,696"
0,M200,2018,Per Diem,ABSENCE COVERAGE,,,"$ 37,806"
1,M200,2018,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 12,800"
0,M200,2018,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 172,327"
0,M200,2018,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 4,518"
1,M200,2018,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 12,650"
2,M200,2018,OTPS,EDUCATIONAL SOFTWARE,,,"$ 20,150"
3,M200,2018,OTPS,LIBRARY BOOKS,,,"$ 2,540"
4,M200,2018,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 36,163"
5,M200,2018,OTPS,OFFICE TEMP SERVICES - CONTRACTUAL,,,"$ 2,454"
6,M200,2018,OTPS,SUPPLIES - GENERAL,,,"$ 91,885"
7,M200,2018,OTPS,TEXTBOOKS,,,$ 477
0,M200,2018,People Working Partial Year,People Working Partial Year,,,"$ 54,182"
0,M197,2022,Leadership,HEAD OF SCHOOL,1.0,,"$ 170,508"
1,M197,2022,Leadership,AP - ORGANIZATION,1.0,,"$ 134,005"
0,M197,2022,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 50,026"
0,M197,2022,Secretary,School Secretary,2.0,,"$ 157,128"
0,M197,2022,Classroom Teacher,Pre K,2.0,ICT - General Ed Teacher,"$ 145,924"
1,M197,2022,Classroom Teacher,Pre K,1.0,WHOLE CLASS,"$ 143,966"
3,M197,2022,Classroom Teacher,K,1.0,ICT - General Ed Teacher,"$ 101,420"
4,M197,2022,Classroom Teacher,K,1.0,ICT - Special Ed Teacher,"$ 117,213"
6,M197,2022,Classroom Teacher,"K, 1, 2",1.0,SELF-CONTAINED SP ED,"$ 101,420"
7,M197,2022,Classroom Teacher,"K,1",1.0,SELF-CONTAINED SP ED,"$ 101,420"
8,M197,2022,Classroom Teacher,1,1.0,ICT - Special Ed Teacher,"$ 101,420"
9,M197,2022,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 287,723"
11,M197,2022,Classroom Teacher,2,1.0,ICT - Special Ed Teacher,"$ 101,420"
12,M197,2022,Classroom Teacher,3,1.0,ASD Special Ed,"$ 101,420"
13,M197,2022,Classroom Teacher,3,2.0,ICT - General Ed Teacher,"$ 223,819"
15,M197,2022,Classroom Teacher,3-K,1.0,WHOLE CLASS,"$ 143,919"
16,M197,2022,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 121,425"
17,M197,2022,Classroom Teacher,4,1.0,ICT - Special Ed Teacher,"$ 117,056"
18,M197,2022,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 108,920"
20,M197,2022,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 101,420"
21,M197,2022,Classroom Teacher,5,2.0,ICT - Special Ed Teacher,"$ 202,840"
22,M197,2022,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 101,420"
0,M197,2022,Elementary Cluster/Quota,COMPUTER LAB,1.0,REDUCED CLASS SIZE,"$ 138,860"
1,M197,2022,Elementary Cluster/Quota,ESL,1.0,WHOLE CLASS,"$ 101,420"
2,M197,2022,Elementary Cluster/Quota,MUSIC,1.0,WHOLE CLASS,"$ 101,420"
3,M197,2022,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 125,075"
0,M197,2022,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 81,110"
1,M197,2022,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT - Special Ed,"$ 81,663"
2,M197,2022,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 101,420"
3,M197,2022,Special Needs - Support Services,SPEECH,1.0,PUSH IN/PULL OUT,"$ 103,083"
0,M197,2022,SAPIS,Substance Abuse Prevention & Interv Special Annual,1.0,,"$ 89,695"
0,M197,2022,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 110,657"
1,M197,2022,Guidance/Social Workers,School Social Worker,1.0,,"$ 108,762"
0,M197,2022,SBST,DC 37 Para More Than 20 Hrs,0.0,,"$ 33,345"
1,M197,2022,SBST,School Psychologist Mandated Services,1.0,,"$ 154,225"
2,M197,2022,SBST,School Social Worker,1.0,,"$ 122,855"
0,M197,2022,Paraprofessionals,Class Mgr,1.0,,"$ 36,745"
1,M197,2022,Paraprofessionals,CLASSROOM - General Ed,2.0,,"$ 133,186"
2,M197,2022,Paraprofessionals,CLASSROOM - Special Ed,1.0,,"$ 66,593"
3,M197,2022,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),7.0,,"$ 338,610"
4,M197,2022,Paraprofessionals,IEP-HEALTH,1.0,,"$ 41,003"
5,M197,2022,Paraprofessionals,PRE-K,2.0,,"$ 130,537"
0,M197,2022,School Aides and Other Support Staff,School Aides and Other Support Staff,0.0,,"$ 62,773"
0,M197,2022,Family Workers,OUTREACH,0.0,,"$ 9,270"
0,M197,2022,Per Diem,ABSENCE COVERAGE,,,"$ 201,772"
1,M197,2022,Per Diem,CURRICULUM DEVELOPMENT,,,$ 646
0,M197,2022,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 126,059"
1,M197,2022,Per Session,SPECIAL ED INSTRUCTIONAL PGMS,,,"$ 1,564"
2,M197,2022,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 33,307"
0,M197,2022,OTPS,Curriculum & Staff Development Contracts,,,"$ 10,000"
1,M197,2022,OTPS,Data Processing Repair - Contractual,,,"$ 1,059"
2,M197,2022,OTPS,Educational Consultants,,,"$ 5,000"
3,M197,2022,OTPS,Equipment - General,,,$ 695
4,M197,2022,OTPS,Library Books,,,"$ 1,296"
5,M197,2022,OTPS,Non-Contractual Services,,,"$ 86,011"
6,M197,2022,OTPS,Supplies - General,,,"$ 202,138"
7,M197,2022,OTPS,Telecommunication Contracts,,,$ 358
8,M197,2022,OTPS,Telephone and Other Communications,,,"$ 1,000"
9,M197,2022,OTPS,Transportation of Staff - Non-Contract,,,"$ 5,000"
0,M197,2022,Setasides,School Funded Copier,,,"$ 5,568"
1,M197,2022,Setasides,Summer Non-Professional 016,,,"$ 47,806"
0,M197,2022,Sixth period coverage,Not Available,,,"$ 11,790"
0,M197,2022,People Working Partial Year,People Working Partial Year,,,"$ 139,195"
0,M197,2021,Leadership,HEAD OF SCHOOL,1.0,,"$ 161,920"
1,M197,2021,Leadership,AP - ORGANIZATION,1.0,,"$ 130,351"
0,M197,2021,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 50,026"
0,M197,2021,Secretary,School Secretary,2.0,,"$ 154,019"
0,M197,2021,Classroom Teacher,Pre K,2.0,ICT - General Ed Teacher,"$ 273,075"
1,M197,2021,Classroom Teacher,Pre K,1.0,ICT - Special Ed Teacher,"$ 3,260"
2,M197,2021,Classroom Teacher,Pre K,1.0,WHOLE CLASS,"$ 136,538"
4,M197,2021,Classroom Teacher,K,1.0,ICT - General Ed Teacher,"$ 96,459"
5,M197,2021,Classroom Teacher,K,1.0,ICT - Special Ed Teacher,"$ 96,459"
6,M197,2021,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 122,558"
8,M197,2021,Classroom Teacher,"K, 1, 2",1.0,SELF-CONTAINED SP ED,"$ 96,459"
9,M197,2021,Classroom Teacher,1,1.0,ICT - Special Ed Teacher,"$ 96,459"
10,M197,2021,Classroom Teacher,1,1.0,WHOLE CLASS,"$ 128,594"
12,M197,2021,Classroom Teacher,2,1.0,ICT - General Ed Teacher,"$ 128,590"
13,M197,2021,Classroom Teacher,2,1.0,ICT - Special Ed Teacher,"$ 96,459"
15,M197,2021,Classroom Teacher,3,1.0,ASD Special Ed,"$ 96,459"
16,M197,2021,Classroom Teacher,3,2.0,ICT - General Ed Teacher,"$ 212,681"
18,M197,2021,Classroom Teacher,345,1.0,SELF-CONTAINED SP ED,"$ 96,459"
19,M197,2021,Classroom Teacher,3-K,1.0,WHOLE CLASS,"$ 136,538"
20,M197,2021,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 115,304"
21,M197,2021,Classroom Teacher,4,1.0,ICT - Special Ed Teacher,"$ 113,372"
22,M197,2021,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 103,959"
24,M197,2021,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 1,662"
25,M197,2021,Classroom Teacher,5,2.0,ICT - Special Ed Teacher,"$ 151,669"
26,M197,2021,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 97,437"
0,M197,2021,Elementary Cluster/Quota,COMPUTER LAB,1.0,REDUCED CLASS SIZE,"$ 134,438"
1,M197,2021,Elementary Cluster/Quota,MUSIC,1.0,WHOLE CLASS,"$ 104,595"
2,M197,2021,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 136,538"
3,M197,2021,Elementary Cluster/Quota,READING/LITERACY,1.0,WHOLE CLASS,"$ 96,459"
0,M197,2021,Special Needs - Support Services,ESL,1.0,PUSH IN/PULL OUT,"$ 96,459"
1,M197,2021,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 78,516"
2,M197,2021,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT - Special Ed,"$ 79,161"
3,M197,2021,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 96,459"
4,M197,2021,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 198,218"
0,M197,2021,SAPIS,Substance Abuse Prevention & Interv Special Annual,1.0,,"$ 89,442"
0,M197,2021,Guidance/Social Workers,Guidance Counselor,1.0,,"$ 102,744"
1,M197,2021,Guidance/Social Workers,School Social Worker,1.0,,"$ 104,088"
0,M197,2021,SBST,DC 37 Para More Than 20 Hrs,0.0,,"$ 32,678"
1,M197,2021,SBST,School Psychologist Mandated Services,1.0,,"$ 147,128"
0,M197,2021,Paraprofessionals,Class Mgr,0.0,,"$ 7,562"
1,M197,2021,Paraprofessionals,CLASSROOM - General Ed,3.0,,"$ 153,416"
2,M197,2021,Paraprofessionals,CLASSROOM - Special Ed,1.0,,"$ 63,666"
3,M197,2021,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),12.0,,"$ 528,224"
4,M197,2021,Paraprofessionals,IEP-HEALTH,1.0,,"$ 39,295"
5,M197,2021,Paraprofessionals,PRE-K,1.0,,"$ 63,666"
0,M197,2021,School Aides and Other Support Staff,School Aides and Other Support Staff,1.0,,"$ 143,114"
0,M197,2021,Family Workers,ATTENDANCE,0.0,,"$ 65,477"
0,M197,2021,Per Diem,ABSENCE COVERAGE,,,"$ 71,965"
1,M197,2021,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 20,340"
0,M197,2021,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 46,659"
1,M197,2021,Per Session,PARENT INVOLVEMENT,,,"$ 2,783"
2,M197,2021,Per Session,SUMMER STUDENT PROGRAMS,,,"$ 6,344"
0,M197,2021,OTPS,Curriculum & Staff Development Contracts,,,"$ 10,000"
1,M197,2021,OTPS,Data Processing Repair - Contractual,,,"$ 1,610"
2,M197,2021,OTPS,Educational Software,,,"$ 4,599"
3,M197,2021,OTPS,Equipment - General,,,"$ 11,596"
4,M197,2021,OTPS,Library Books,,,"$ 1,503"
5,M197,2021,OTPS,Non-Contractual Services,,,"$ 31,730"
6,M197,2021,OTPS,Supplies - General,,,"$ 212,231"
7,M197,2021,OTPS,Telecommunication Contracts,,,$ 716
0,M197,2021,Setasides,Facilities Work Set Aside,,,"$ 37,328"
1,M197,2021,Setasides,School Funded Copier,,,"$ 4,176"
2,M197,2021,Setasides,Summer Non-Professional 016,,,"$ 13,249"
0,M197,2021,People Working Partial Year,People Working Partial Year,,,"$ 145,034"
0,M197,2020,Leadership,HEAD OF SCHOOL,1.0,,"$ 153,055"
1,M197,2020,Leadership,AP - ORGANIZATION,1.0,,"$ 124,678"
0,M197,2020,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 49,560"
0,M197,2020,Secretary,SCHOOL SECRETARY,2.0,,"$ 149,970"
0,M197,2020,Classroom Teacher,Pre K,1.0,ICT - General Ed Teacher,"$ 133,578"
1,M197,2020,Classroom Teacher,Pre K,1.0,WHOLE CLASS,"$ 31,845"
3,M197,2020,Classroom Teacher,K,1.0,ICT - General Ed Teacher,"$ 94,428"
4,M197,2020,Classroom Teacher,K,1.0,ICT - Special Ed Teacher,"$ 110,503"
5,M197,2020,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 94,428"
7,M197,2020,Classroom Teacher,"K,1,2",1.0,SELF-CONTAINED SP ED,"$ 95,595"
8,M197,2020,Classroom Teacher,1,1.0,ICT - Special Ed Teacher,"$ 94,428"
9,M197,2020,Classroom Teacher,1,2.0,WHOLE CLASS,"$ 248,062"
11,M197,2020,Classroom Teacher,2,1.0,ICT - General Ed Teacher,"$ 132,251"
12,M197,2020,Classroom Teacher,2,1.0,ICT - Special Ed Teacher,"$ 94,428"
14,M197,2020,Classroom Teacher,3,1.0,ICT - General Ed Teacher,"$ 94,428"
15,M197,2020,Classroom Teacher,34,1.0,SELF-CONTAINED SP ED,"$ 99,126"
16,M197,2020,Classroom Teacher,3-K,1.0,WHOLE CLASS,"$ 133,578"
17,M197,2020,Classroom Teacher,4,3.0,ICT - General Ed Teacher,"$ 327,817"
18,M197,2020,Classroom Teacher,4,2.0,ICT - Special Ed Teacher,"$ 188,856"
20,M197,2020,Classroom Teacher,"4, 5",1.0,SELF-CONTAINED SP ED,"$ 94,428"
21,M197,2020,Classroom Teacher,5,1.0,ASD Special Ed,"$ 94,428"
22,M197,2020,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 116,317"
23,M197,2020,Classroom Teacher,5,1.0,ICT - Special Ed Teacher,"$ 94,428"
24,M197,2020,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 94,428"
0,M197,2020,Elementary Cluster/Quota,COMPUTER LAB,1.0,REDUCED CLASS SIZE,"$ 131,526"
1,M197,2020,Elementary Cluster/Quota,MUSIC,1.0,WHOLE CLASS,"$ 94,428"
2,M197,2020,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 110,088"
3,M197,2020,Elementary Cluster/Quota,READING/LITERACY,1.0,WHOLE CLASS,"$ 94,428"
0,M197,2020,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 142,660"
1,M197,2020,Special Needs - Support Services,ESL,1.0,PUSH IN/PULL OUT,"$ 60,661"
2,M197,2020,Special Needs - Support Services,OCCUPATIONAL THERAPY,1.0,PUSH IN/PULL OUT,"$ 72,319"
3,M197,2020,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT - Special Ed,"$ 77,748"
4,M197,2020,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 94,428"
5,M197,2020,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 193,386"
0,M197,2020,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 87,946"
0,M197,2020,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 101,492"
1,M197,2020,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 39,261"
0,M197,2020,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 33,060"
1,M197,2020,SBST,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,,"$ 145,632"
0,M197,2020,Paraprofessionals,CLASSROOM - General Ed,3.0,,"$ 142,262"
1,M197,2020,Paraprofessionals,CLASSROOM - Special Ed,4.0,,"$ 129,614"
2,M197,2020,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),10.0,,"$ 429,306"
3,M197,2020,Paraprofessionals,PRE-K,1.0,,"$ 61,696"
0,M197,2020,School Aides and Other Support Staff,School Aides and Other Support Staff,1.0,,"$ 136,921"
0,M197,2020,Family Workers,ATTENDANCE,0.0,,"$ 65,900"
1,M197,2020,Family Workers,OUTREACH,0.0,,"$ 6,856"
0,M197,2020,Per Diem,ABSENCE COVERAGE,,,"$ 67,155"
1,M197,2020,Per Diem,IEP-AWAITING PLACEMENT,,,"$ 41,556"
0,M197,2020,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 85,149"
0,M197,2020,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 7,238"
1,M197,2020,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 1,610"
2,M197,2020,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 46,742"
3,M197,2020,OTPS,EDUCATIONAL SOFTWARE,,,"$ 2,569"
4,M197,2020,OTPS,EQUIPMENT - GENERAL,,,"$ 14,430"
5,M197,2020,OTPS,LIBRARY BOOKS,,,"$ 1,593"
6,M197,2020,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 34,728"
7,M197,2020,OTPS,OVERTIME ADMIN,,,"$ 1,807"
8,M197,2020,OTPS,SUPPLIES - GENERAL,,,"$ 98,438"
9,M197,2020,OTPS,TELECOMMUNICATION CONTRACTS,,,$ 358
10,M197,2020,OTPS,TEXTBOOKS,,,"$ 6,008"
11,M197,2020,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 37,319"
0,M197,2020,Setasides,Summer Non-Professional (016),,,"$ 12,729"
0,M197,2020,People Working Partial Year,People Working Partial Year,,,"$ 304,640"
0,M197,2019,Leadership,HEAD OF SCHOOL,1.0,,"$ 150,970"
1,M197,2019,Leadership,AP - ORGANIZATION,1.0,,"$ 124,089"
0,M197,2019,Coordinator/Supervisor/Dean,PARENT COORDINATOR,1.0,,"$ 46,569"
0,M197,2019,Secretary,SCHOOL SECRETARY,2.0,,"$ 141,927"
0,M197,2019,Classroom Teacher,Pre K,1.0,ICT - General Ed Teacher,"$ 129,642"
1,M197,2019,Classroom Teacher,Pre K,1.0,ICT - Special Ed Teacher,"$ 129,642"
2,M197,2019,Classroom Teacher,Pre K,1.0,WHOLE CLASS,"$ 129,642"
4,M197,2019,Classroom Teacher,"Pre K,K",1.0,WHOLE CLASS,"$ 45,833"
5,M197,2019,Classroom Teacher,K,1.0,ICT - General Ed Teacher,"$ 91,665"
6,M197,2019,Classroom Teacher,K,1.0,ICT - Special Ed Teacher,"$ 12,833"
7,M197,2019,Classroom Teacher,K,1.0,WHOLE CLASS,"$ 91,665"
9,M197,2019,Classroom Teacher,"K,1",1.0,SELF-CONTAINED SP ED,"$ 91,665"
10,M197,2019,Classroom Teacher,1,1.0,ICT - Special Ed Teacher,"$ 91,665"
11,M197,2019,Classroom Teacher,1,1.0,WHOLE CLASS,"$ 112,803"
13,M197,2019,Classroom Teacher,2,1.0,ICT - General Ed Teacher,"$ 109,837"
14,M197,2019,Classroom Teacher,2,1.0,ICT - Special Ed Teacher,"$ 91,665"
15,M197,2019,Classroom Teacher,2,1.0,WHOLE CLASS,"$ 100,210"
17,M197,2019,Classroom Teacher,23,1.0,SELF-CONTAINED SP ED,"$ 91,665"
18,M197,2019,Classroom Teacher,3,2.0,ICT - General Ed Teacher,"$ 204,563"
19,M197,2019,Classroom Teacher,3,1.0,ICT - Special Ed Teacher,"$ 91,665"
21,M197,2019,Classroom Teacher,3-K,1.0,WHOLE CLASS,"$ 129,642"
22,M197,2019,Classroom Teacher,4,1.0,ICT - General Ed Teacher,"$ 117,924"
23,M197,2019,Classroom Teacher,4,1.0,ICT - Special Ed Teacher,"$ 91,665"
24,M197,2019,Classroom Teacher,4,1.0,WHOLE CLASS,"$ 106,939"
26,M197,2019,Classroom Teacher,"4, 5",1.0,SELF-CONTAINED SP ED,"$ 91,665"
27,M197,2019,Classroom Teacher,5,1.0,ASD Special Ed,"$ 91,665"
28,M197,2019,Classroom Teacher,5,1.0,ICT - General Ed Teacher,"$ 91,665"
29,M197,2019,Classroom Teacher,5,1.0,WHOLE CLASS,"$ 91,665"
0,M197,2019,Elementary Cluster/Quota,COMPUTER LAB,1.0,REDUCED CLASS SIZE,"$ 127,652"
1,M197,2019,Elementary Cluster/Quota,PHYSICAL EDUCATION,1.0,WHOLE CLASS,"$ 106,856"
0,M197,2019,Special Needs - Support Services,ATTENDANCE,1.0,PUSH IN/PULL OUT,"$ 138,934"
1,M197,2019,Special Needs - Support Services,ESL,1.0,PUSH IN/PULL OUT,"$ 91,665"
2,M197,2019,Special Needs - Support Services,PHYSICAL THERAPY,1.0,PULL-OUT - Special Ed,"$ 75,864"
3,M197,2019,Special Needs - Support Services,SETSS,1.0,PUSH IN/PULL OUT,"$ 91,665"
4,M197,2019,Special Needs - Support Services,SPEECH,2.0,PUSH IN/PULL OUT,"$ 187,274"
0,M197,2019,SAPIS,SUBSTANCE ABUSE PREVENTION & INTERV SPEC (H-BANK),1.0,,"$ 83,059"
0,M197,2019,Guidance/Social Workers,GUIDANCE COUNSELOR,1.0,,"$ 89,349"
1,M197,2019,Guidance/Social Workers,SCHOOL PSYCHOLOGIST,0.02,,"$ 2,848"
2,M197,2019,Guidance/Social Workers,SCHOOL SOCIAL WORKER,1.0,,"$ 99,227"
0,M197,2019,SBST,DC 37 PARA (MORE THAN 20 HRS),0.0,,"$ 31,591"
1,M197,2019,SBST,SCHOOL PSYCHOLOGIST,1.0,,"$ 140,158"
0,M197,2019,Paraprofessionals,CLASSROOM - General Ed,1.0,,"$ 58,637"
1,M197,2019,Paraprofessionals,CLASSROOM - Special Ed,1.0,,"$ 58,637"
2,M197,2019,Paraprofessionals,IEP-CRISIS MANAGEMENT(CIT),12.0,,"$ 484,598"
3,M197,2019,Paraprofessionals,IEP-HEALTH,1.0,,"$ 36,020"
4,M197,2019,Paraprofessionals,PRE-K,3.0,,"$ 154,995"
0,M197,2019,School Aides and Other Support Staff,School Aides and Other Support Staff,1.0,,"$ 91,596"
0,M197,2019,Family Workers,ATTENDANCE,0.0,,"$ 64,488"
0,M197,2019,Per Diem,ABSENCE COVERAGE,,,"$ 106,480"
1,M197,2019,Per Diem,IEP-CRISIS MANAGEMENT(CIT),,,"$ 73,208"
0,M197,2019,Per Session,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,,"$ 83,672"
0,M197,2019,OTPS,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,,"$ 5,650"
1,M197,2019,OTPS,DATA PROCESSING REPAIR - CONTRACTUAL,,,"$ 3,063"
2,M197,2019,OTPS,EDUCATIONAL CONSULTANTS,,,"$ 79,499"
3,M197,2019,OTPS,FURNITURE (OBJECT 300),,,"$ 12,254"
4,M197,2019,OTPS,LIBRARY BOOKS,,,"$ 1,794"
5,M197,2019,OTPS,NON-CONTRACTUAL SERVICES,,,"$ 18,134"
6,M197,2019,OTPS,SUPPLIES - GENERAL,,,"$ 223,013"
7,M197,2019,OTPS,TELEPHONE AND OTHER COMMUNICATIONS,,,$ 383
8,M197,2019,OTPS,TEXTBOOKS,,,"$ 16,000"
9,M197,2019,OTPS,TRANSPORTATION OF STAFF - NON-CONTRACT,,,"$ 35,096"
0,M197,2019,Setasides,Summer Non-Professional (016),,,"$ 48,309"
0,M197,2019,People Working Partial Year,People Working Partial Year,,,"$ 74,721"
0,M197,2019,Setasides,CB GE All Other Salaries Set Aside,,,"$ 10,787"
1,M197,2019,Setasides,CB GE Classroom Teachers Set Aside,,,"$ 14,023"
2,M197,2019,Setasides,CB GE Pupil Support Services Set Aside,,,"$ 1,488"
3,M197,2019,Setasides,CB Pre-K GE Set Aside,,,"$ 7,903"
4,M197,2019,Setasides,CB Pre-K SE Set Aside,,,"$ 1,003"
