,budget_assignment,num_positions,amount,budget_category,service_type,location_code,fiscal_year
6114,5,2.0,"$ 202,796",Classroom Teacher,ICT - General Ed Teacher,Q173,2020
6115,5,2.0,"$ 106,346",Classroom Teacher,ICT - Special Ed Teacher,Q173,2020
6116,5,1.0,"$ 90,723",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2020
6117,5,3.0,"$ 272,169",Classroom Teacher,WHOLE CLASS,Q173,2020
6118,5,8.0,"$ 672,034",Classroom Teacher,Sub-Total,Q173,2020
6119,ARTS,1.0,"$ 128,337",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6120,COMPUTER,1.0,"$ 122,033",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6121,ESL,4.0,"$ 367,267",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6122,MUSIC,1.0,"$ 98,246",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6123,PHYSICAL EDUCATION,2.0,"$ 188,374",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6124,SCIENCE - GENERAL SCIENCE,2.0,"$ 181,446",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6125,SELF CONTAINED SP ED,1.0,"$ 48,664",Elementary Cluster/Quota,WHOLE CLASS,Q173,2020
6126,OCCUPATIONAL THERAPY,1.0,"$ 77,181",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2020
6127,SETSS,1.0,"$ 16,521",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2020
6128,SPEECH,1.0,"$ 96,693",Special Needs - Support Services,PULL-OUT -all students,Q173,2020
6129,SPEECH,2.0,"$ 237,311",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2020
6130,SPEECH,3.0,"$ 334,004",Special Needs - Support Services,Sub-Total,Q173,2020
6131,GUIDANCE COUNSELOR,0.6,"$ 64,049",Guidance/Social Workers,,Q173,2020
6132,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 43,924",SBST,,Q173,2020
6133,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 103,102",SBST,,Q173,2020
6134,504,3.0,"$ 114,591",Paraprofessionals,,Q173,2020
6135,CLASSROOM - Special Ed,5.0,"$ 190,985",Paraprofessionals,,Q173,2020
6136,IEP-ALTERNATE PLACEMENT,2.0,"$ 80,160",Paraprofessionals,,Q173,2020
6137,IEP-CRISIS MANAGEMENT(CIT),1.0,"$ 38,197",Paraprofessionals,,Q173,2020
6138,IEP-HEALTH,1.0,"$ 38,197",Paraprofessionals,,Q173,2020
6139,PRE-K,2.0,"$ 123,392",Paraprofessionals,,Q173,2020
6140,School Aides and Other Support Staff,0.0,"$ 228,369",School Aides and Other Support Staff,,Q173,2020
6141,504,,"$ 34,526",Per Diem,,Q173,2020
6142,ABSENCE COVERAGE,,$ 0,Per Diem,,Q173,2020
6143,IEP-HEALTH,,"$ 21,045",Per Diem,,Q173,2020
6144,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 59,060",Per Session,,Q173,2020
6145,PARENT INVOLVEMENT,,"$ 5,627",Per Session,,Q173,2020
6146,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 38,550",OTPS,,Q173,2020
6147,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 3,358",OTPS,,Q173,2020
6148,EDUCATIONAL CONSULTANTS,,"$ 1,300",OTPS,,Q173,2020
6149,EDUCATIONAL SOFTWARE,,"$ 9,206",OTPS,,Q173,2020
6150,EQUIPMENT - GENERAL,,"$ 9,308",OTPS,,Q173,2020
6151,FURNITURE (OBJECT 300),,"$ 10,000",OTPS,,Q173,2020
6152,INTERNAL DOE SERVICES,,$ 24,OTPS,,Q173,2020
6153,LIBRARY BOOKS,,"$ 5,707",OTPS,,Q173,2020
6154,NON-CONTRACTUAL SERVICES,,"$ 2,650",OTPS,,Q173,2020
6155,SUPPLIES - GENERAL,,"$ 21,604",OTPS,,Q173,2020
6156,TELEPHONE AND OTHER COMMUNICATIONS,,"$ 1,611",OTPS,,Q173,2020
6157,TEXTBOOKS,,"$ 29,910",OTPS,,Q173,2020
6158,People Working Partial Year,,"$ 218,098",People Working Partial Year,,Q173,2020
6159,Main School,84.6,"$ 7,799,774",School Site,,Q173,2020
6160,HEAD OF SCHOOL,1.0,"$ 165,481",Leadership,,Q173,2019
6161,ASST HEAD OF SCHOOL,2.0,"$ 245,939",Leadership,,Q173,2019
6162,PARENT COORDINATOR,1.0,"$ 51,873",Coordinator/Supervisor/Dean,,Q173,2019
6163,SCHOOL SECRETARY,2.0,"$ 137,508",Secretary,,Q173,2019
6164,Pre K,2.0,"$ 250,784",Classroom Teacher,WHOLE CLASS,Q173,2019
6165,K,1.0,"$ 88,660",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6166,K,1.0,"$ 88,660",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6167,K,5.0,"$ 443,300",Classroom Teacher,WHOLE CLASS,Q173,2019
6168,K,7.0,"$ 620,620",Classroom Teacher,Sub-Total,Q173,2019
6169,"K, 1",1.0,"$ 88,660",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2019
6170,1,1.0,"$ 88,660",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6171,1,1.0,"$ 88,660",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6172,1,2.0,"$ 177,320",Classroom Teacher,WHOLE CLASS,Q173,2019
6173,1,4.0,"$ 354,640",Classroom Teacher,Sub-Total,Q173,2019
6174,12,1.0,"$ 88,660",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2019
6175,2,1.0,"$ 88,660",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6176,2,1.0,"$ 76,248",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6177,2,4.0,"$ 354,640",Classroom Teacher,WHOLE CLASS,Q173,2019
6178,2,6.0,"$ 519,548",Classroom Teacher,Sub-Total,Q173,2019
6179,3,1.0,"$ 88,660",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6180,3,1.0,"$ 88,660",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6181,3,1.0,"$ 88,660",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2019
6182,3,4.0,"$ 354,640",Classroom Teacher,WHOLE CLASS,Q173,2019
6183,3,7.0,"$ 620,620",Classroom Teacher,Sub-Total,Q173,2019
6184,"3, 4",1.0,"$ 88,660",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2019
6185,4,1.0,"$ 88,660",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6186,4,1.0,"$ 88,660",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6187,4,5.0,"$ 443,300",Classroom Teacher,WHOLE CLASS,Q173,2019
6188,4,7.0,"$ 620,620",Classroom Teacher,Sub-Total,Q173,2019
6189,45,1.0,"$ 88,660",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2019
6190,5,2.0,"$ 198,661",Classroom Teacher,ICT - General Ed Teacher,Q173,2019
6191,5,2.0,"$ 177,320",Classroom Teacher,ICT - Special Ed Teacher,Q173,2019
6192,5,4.0,"$ 354,640",Classroom Teacher,WHOLE CLASS,Q173,2019
6193,5,8.0,"$ 730,621",Classroom Teacher,Sub-Total,Q173,2019
6194,ARTS,1.0,"$ 125,392",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6195,COMPUTER,1.0,"$ 114,541",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6196,ESL,3.0,"$ 265,980",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6197,MUSIC,1.0,"$ 96,006",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6198,PHYSICAL EDUCATION,2.0,"$ 187,017",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6199,SCIENCE - GENERAL SCIENCE,2.0,"$ 177,320",Elementary Cluster/Quota,WHOLE CLASS,Q173,2019
6200,INTERVENTION / PREVENTION,1.0,"$ 88,660",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2019
6201,OCCUPATIONAL THERAPY,1.0,"$ 75,145",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2019
6202,SETSS,1.0,"$ 88,972",Special Needs - Support Services,PUSH IN-All Students,Q173,2019
6203,SPEECH,1.0,"$ 93,637",Special Needs - Support Services,PULL-OUT -all students,Q173,2019
6204,SPEECH,3.0,"$ 160,428",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2019
6205,SPEECH,4.0,"$ 254,065",Special Needs - Support Services,Sub-Total,Q173,2019
6206,GUIDANCE COUNSELOR,0.6,"$ 64,565",Guidance/Social Workers,,Q173,2019
6207,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 41,956",SBST,,Q173,2019
6208,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 99,227",SBST,,Q173,2019
6209,504,3.0,"$ 88,851",Paraprofessionals,,Q173,2019
6210,CLASSROOM - Special Ed,3.0,"$ 96,173",Paraprofessionals,,Q173,2019
6211,IEP-ALTERNATE PLACEMENT,2.0,"$ 46,585",Paraprofessionals,,Q173,2019
6212,IEP-CRISIS MANAGEMENT(CIT),1.0,"$ 36,020",Paraprofessionals,,Q173,2019
6213,IEP-HEALTH,1.0,"$ 58,637",Paraprofessionals,,Q173,2019
6214,MOBILITY,1.0,"$ 36,020",Paraprofessionals,,Q173,2019
6215,PRE-K,2.0,"$ 109,065",Paraprofessionals,,Q173,2019
6216,School Aides and Other Support Staff,0.0,"$ 218,437",School Aides and Other Support Staff,,Q173,2019
6217,504,,"$ 12,814",Per Diem,,Q173,2019
6218,ABSENCE COVERAGE,,"$ 155,928",Per Diem,,Q173,2019
6219,IEP-HEALTH,,"$ 43,298",Per Diem,,Q173,2019
6220,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 126,944",Per Session,,Q173,2019
6221,PARENT INVOLVEMENT,,"$ 11,331",Per Session,,Q173,2019
6222,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 39,000",OTPS,,Q173,2019
6223,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 4,474",OTPS,,Q173,2019
6224,EDUCATIONAL SOFTWARE,,"$ 1,867",OTPS,,Q173,2019
6225,EQUIPMENT - GENERAL,,"$ 1,868",OTPS,,Q173,2019
6226,FURNITURE (OBJECT 300),,"$ 31,939",OTPS,,Q173,2019
6227,LIBRARY BOOKS,,"$ 5,682",OTPS,,Q173,2019
6228,NON-CONTRACTUAL SERVICES,,"$ 4,000",OTPS,,Q173,2019
6229,SUPPLIES - GENERAL,,"$ 107,176",OTPS,,Q173,2019
6230,TEXTBOOKS,,"$ 8,839",OTPS,,Q173,2019
6231,People Working Partial Year,,"$ 219,301",People Working Partial Year,,Q173,2019
6232,CB GE All Other Salaries Set Aside,,"$ 15,197",Setasides,,Q173,2019
6233,CB GE Classroom Teachers Set Aside,,"$ 39,723",Setasides,,Q173,2019
6234,CB GE Pupil Support Services Set Aside,,$ 225,Setasides,,Q173,2019
6235,CB Pre-K GE Set Aside,,"$ 3,967",Setasides,,Q173,2019
6236,CB SE All Other Salaries Set Aside,,"$ 6,708",Setasides,,Q173,2019
6237,CB SE Classroom Teachers Set Aside,,"$ 2,918",Setasides,,Q173,2019
6238,CB SE Pupil Support Services Set Aside,,"$ 18,442",Setasides,,Q173,2019
6239,Main School,82.6,"$ 7,903,169",School Site,,Q173,2019
6240,HEAD OF SCHOOL,1.0,"$ 152,512",Leadership,,Q173,2018
6241,ASST HEAD OF SCHOOL,2.0,"$ 183,383",Leadership,,Q173,2018
6242,PARENT COORDINATOR,1.0,"$ 51,873",Coordinator/Supervisor/Dean,,Q173,2018
6243,SCHOOL SECRETARY,2.0,"$ 129,050",Secretary,,Q173,2018
6244,Pre K,2.0,"$ 241,653",Classroom Teacher,WHOLE CLASS,Q173,2018
6245,K,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6246,K,1.0,"$ 61,947",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6247,K,5.0,"$ 430,785",Classroom Teacher,WHOLE CLASS,Q173,2018
6248,K,7.0,"$ 578,889",Classroom Teacher,Sub-Total,Q173,2018
6249,"K, 1",1.0,"$ 86,157",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2018
6250,1,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6251,1,1.0,"$ 61,955",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6252,1,5.0,"$ 454,274",Classroom Teacher,WHOLE CLASS,Q173,2018
6253,1,7.0,"$ 602,386",Classroom Teacher,Sub-Total,Q173,2018
6254,2,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6255,2,2.0,"$ 172,314",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6256,2,1.0,"$ 105,679",Classroom Teacher,REDUCED CLASS SIZE,Q173,2018
6257,2,2.0,"$ 172,314",Classroom Teacher,WHOLE CLASS,Q173,2018
6258,2,6.0,"$ 536,464",Classroom Teacher,Sub-Total,Q173,2018
6259,23,1.0,"$ 86,157",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2018
6260,3,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6261,3,1.0,"$ 86,157",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6262,3,3.0,"$ 267,107",Classroom Teacher,WHOLE CLASS,Q173,2018
6263,3,5.0,"$ 439,421",Classroom Teacher,Sub-Total,Q173,2018
6264,34,1.0,"$ 86,157",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2018
6265,4,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6266,4,1.0,"$ 86,157",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6267,4,6.0,"$ 432,517",Classroom Teacher,WHOLE CLASS,Q173,2018
6268,4,8.0,"$ 604,831",Classroom Teacher,Sub-Total,Q173,2018
6269,5,1.0,"$ 86,157",Classroom Teacher,ICT - General Ed Teacher,Q173,2018
6270,5,1.0,"$ 86,157",Classroom Teacher,ICT - Special Ed Teacher,Q173,2018
6271,5,1.0,"$ 86,157",Classroom Teacher,SELF-CONTAINED SP ED,Q173,2018
6272,5,5.0,"$ 430,785",Classroom Teacher,WHOLE CLASS,Q173,2018
6273,5,8.0,"$ 689,256",Classroom Teacher,Sub-Total,Q173,2018
6274,ARTS,1.0,"$ 98,829",Elementary Cluster/Quota,REDUCED CLASS SIZE,Q173,2018
6275,COMPUTER,1.0,"$ 100,295",Elementary Cluster/Quota,WHOLE CLASS,Q173,2018
6276,ESL,2.0,"$ 198,113",Elementary Cluster/Quota,WHOLE CLASS,Q173,2018
6277,MUSIC,1.0,"$ 99,789",Elementary Cluster/Quota,WHOLE CLASS,Q173,2018
6278,PHYSICAL EDUCATION,1.0,"$ 86,157",Elementary Cluster/Quota,WHOLE CLASS,Q173,2018
6279,SCIENCE - GENERAL SCIENCE,1.0,"$ 116,487",Elementary Cluster/Quota,WHOLE CLASS,Q173,2018
6280,INTERVENTION / PREVENTION,1.0,"$ 86,157",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2018
6281,OCCUPATIONAL THERAPY,1.0,"$ 72,148",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2018
6282,SETSS,1.0,"$ 86,452",Special Needs - Support Services,PUSH IN-All Students,Q173,2018
6283,SPEECH,1.0,"$ 90,166",Special Needs - Support Services,PULL-OUT -all students,Q173,2018
6284,SPEECH,2.0,"$ 180,332",Special Needs - Support Services,PUSH IN/PULL OUT,Q173,2018
6285,SPEECH,3.0,"$ 270,498",Special Needs - Support Services,Sub-Total,Q173,2018
6286,GUIDANCE COUNSELOR,0.6,"$ 61,159",Guidance/Social Workers,,Q173,2018
6287,DC 37 PARA (MORE THAN 20 HRS),0.0,"$ 40,790",SBST,,Q173,2018
6288,SCHOOL PSYCHOLOGIST (MANDATED SERVICES),1.0,"$ 115,741",SBST,,Q173,2018
6289,504,1.0,"$ 30,361",Paraprofessionals,,Q173,2018
6290,CLASSROOM - General Ed,1.0,"$ 39,809",Paraprofessionals,,Q173,2018
6291,IEP-ALTERNATE PLACEMENT,1.0,"$ 25,067",Paraprofessionals,,Q173,2018
6292,IEP-CRISIS MANAGEMENT(CIT),4.0,"$ 161,893",Paraprofessionals,,Q173,2018
6293,IEP-HEALTH,1.0,"$ 34,699",Paraprofessionals,,Q173,2018
6294,PRE-K,2.0,"$ 111,634",Paraprofessionals,,Q173,2018
6295,School Aides and Other Support Staff,0.0,"$ 211,075",School Aides and Other Support Staff,,Q173,2018
6296,504,,"$ 25,024",Per Diem,,Q173,2018
6297,ABSENCE COVERAGE,,"$ 173,570",Per Diem,,Q173,2018
6298,IEP-HEALTH,,"$ 20,440",Per Diem,,Q173,2018
6299,TRANSLATION/INTERPRETATION,,"$ 6,001",Per Diem,,Q173,2018
6300,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 29,519",Per Session,,Q173,2018
6301,PARENT INVOLVEMENT,,"$ 7,620",Per Session,,Q173,2018
6302,PROFESSIONAL DEVELOPMENT,,$ 549,Per Session,,Q173,2018
6303,SUMMER STUDENT PROGRAMS,,"$ 57,267",Per Session,,Q173,2018
6304,Building Permit Fees,,"$ 3,473",OTPS,,Q173,2018
6305,CURRICULUM & STAFF DEVELOPMENT CONTRACTS,,"$ 42,370",OTPS,,Q173,2018
6306,DATA PROCESSING REPAIR - CONTRACTUAL,,"$ 2,183",OTPS,,Q173,2018
6307,EDUCATIONAL SOFTWARE,,"$ 2,000",OTPS,,Q173,2018
6308,EQUIPMENT - GENERAL,,"$ 9,000",OTPS,,Q173,2018
6309,LIBRARY BOOKS,,"$ 5,590",OTPS,,Q173,2018
6310,NON-CONTRACTUAL SERVICES,,"$ 8,236",OTPS,,Q173,2018
6311,PROFESSIONAL SERVICES OTHER,,"$ 3,000",OTPS,,Q173,2018
6312,SUPPLIES - GENERAL,,"$ 71,814",OTPS,,Q173,2018
6313,TEXTBOOKS,,"$ 13,003",OTPS,,Q173,2018
6314,People Working Partial Year,,"$ 260,099",People Working Partial Year,,Q173,2018
6315,Main School,76.6,"$ 7,256,100",School Site,,Q173,2018
6316,ASST HEAD OF SCHOOL,3.0,"$ 393,902",Leadership,,Q172,2022
6317,INTERIM ACTING - PRINCIPAL,1.0,"$ 148,166",Leadership,,Q172,2022
6318,PARENT COORDINATOR,1.0,"$ 60,061",Coordinator/Supervisor/Dean,,Q172,2022
6319,School Secretary,2.0,"$ 150,174",Secretary,,Q172,2022
6320,ARTS,2.0,"$ 204,876",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6321,COMPUTER,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6322,DRAMA/THEATER,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6323,ENGLISH LANGUAGE ARTS,8.0,"$ 819,504",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6324,ESL,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6325,FL - SPANISH,2.0,"$ 204,876",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6326,LIBRARY,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6327,MATH,9.0,"$ 780,984",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6328,MUSIC,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6329,MUSIC VOCAL,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6330,PHYSICAL EDUCATION,3.0,"$ 307,314",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6331,SCIENCE - BIOLOGY,1.0,"$ 102,438",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6332,SCIENCE - GENERAL SCIENCE,5.0,"$ 512,190",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6333,SELF CONTAINED SP ED,9.0,"$ 921,942",Cluster/Quota Teacher,ICT - Special Ed Teacher,Q172,2022
6334,SELF CONTAINED SP ED,5.0,"$ 512,190",Cluster/Quota Teacher,SELF-CONTAINED SP ED,Q172,2022
6335,SELF CONTAINED SP ED,14.0,"$ 1,434,132",Cluster/Quota Teacher,Sub-Total,Q172,2022
6336,SOCIAL STUDIES,1.0,"$ 102,438",Cluster/Quota Teacher,SUBJECT SPECIFIC,Q172,2022
6337,SOCIAL STUDIES,4.0,"$ 409,752",Cluster/Quota Teacher,WHOLE CLASS,Q172,2022
6338,SOCIAL STUDIES,5.0,"$ 512,190",Cluster/Quota Teacher,Sub-Total,Q172,2022
6339,OCCUPATIONAL THERAPY,1.0,"$ 56,088",Special Needs - Support Services,PUSH IN/PULL OUT,Q172,2022
6340,SETSS,1.0,"$ 102,438",Special Needs - Support Services,PUSH IN/PULL OUT,Q172,2022
6341,SPEECH,2.0,"$ 206,166",Special Needs - Support Services,PUSH-IN -special ed,Q172,2022
6342,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 89,913",SAPIS,,Q172,2022
6343,Guidance Counselor,2.0,"$ 228,924",Guidance/Social Workers,,Q172,2022
6344,School Social Worker,1.0,"$ 154,225",Guidance/Social Workers,,Q172,2022
6345,DC 37 Para More Than 20 Hrs,0.0,"$ 40,848",SBST,,Q172,2022
6346,School Psychologist Mandated Services,1.0,"$ 108,762",SBST,,Q172,2022
6347,CLASSROOM - Special Ed,2.0,"$ 82,006",Paraprofessionals,,Q172,2022
6348,IEP-ALTERNATE PLACEMENT,1.0,"$ 48,242",Paraprofessionals,,Q172,2022
6349,IEP-CRISIS MANAGEMENT(CIT),1.0,"$ 28,772",Paraprofessionals,,Q172,2022
6350,School Aides and Other Support Staff,0.0,"$ 123,221",School Aides and Other Support Staff,,Q172,2022
6351,ABSENCE COVERAGE,,"$ 459,942",Per Diem,,Q172,2022
6352,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 378,699",Per Session,,Q172,2022
6353,PARENT INVOLVEMENT,,"$ 1,771",Per Session,,Q172,2022
6354,SUMMER STUDENT PROGRAMS,,"$ 272,405",Per Session,,Q172,2022
6355,Curriculum & Staff Development Contracts,,"$ 16,800",OTPS,,Q172,2022
6356,Data Processing Repair - Contractual,,"$ 8,351",OTPS,,Q172,2022
6357,Educational Software,,"$ 5,424",OTPS,,Q172,2022
6358,Equipment - General,,"$ 409,763",OTPS,,Q172,2022
6359,Furniture Object 300,,"$ 49,117",OTPS,,Q172,2022
6360,Library Books,,"$ 6,085",OTPS,,Q172,2022
6361,Non-Contractual Services,,"$ 4,200",OTPS,,Q172,2022
6362,Non-DP Equipment Repair,,"$ 4,025",OTPS,,Q172,2022
6363,Supplies - General,,"$ 206,888",OTPS,,Q172,2022
6364,Telephone and Other Communications,,$ 192,OTPS,,Q172,2022
6365,Textbooks,,"$ 47,207",OTPS,,Q172,2022
6366,Transportation of Staff - Non-Contract,,$ 150,OTPS,,Q172,2022
6367,Facilities Work Set Aside,,"$ 42,300",Setasides,,Q172,2022
6368,School Funded Copier,,"$ 9,989",Setasides,,Q172,2022
6369,Not Available,,"$ 14,556",Sixth period coverage,,Q172,2022
6370,People Working Partial Year,,"$ 391,931",People Working Partial Year,,Q172,2022
6371,Main School,75.0,"$ 9,844,835",School Site,,Q172,2022
6372,HEAD OF SCHOOL,1.0,"$ 184,727",Leadership,,Q172,2021
6373,ASST HEAD OF SCHOOL,3.0,"$ 285,081",Leadership,,Q172,2021
6374,PARENT COORDINATOR,1.0,"$ 58,708",Coordinator/Supervisor/Dean,,Q172,2021
6375,School Secretary,2.0,"$ 146,182",Secretary,,Q172,2021
6376,ARTS,2.0,"$ 195,222",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6377,COMPUTER,1.0,"$ 97,611",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6378,ENGLISH LANGUAGE ARTS,10.0,"$ 976,110",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6379,ESL,2.0,"$ 195,222",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6380,FL - SPANISH,4.0,"$ 390,444",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6381,LIBRARY,1.0,"$ 97,611",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6382,MATH,8.0,"$ 811,951",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6383,MUSIC,1.0,"$ 97,611",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6384,MUSIC VOCAL,1.0,"$ 97,611",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6385,PHYSICAL EDUCATION,3.0,"$ 292,833",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6386,SCIENCE - BIOLOGY,1.0,"$ 97,611",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6387,SCIENCE - GENERAL SCIENCE,5.0,"$ 488,055",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6388,SELF CONTAINED SP ED,10.0,"$ 976,110",Cluster/Quota Teacher,ICT - Special Ed Teacher,Q172,2021
6389,SELF CONTAINED SP ED,6.0,"$ 569,833",Cluster/Quota Teacher,SELF-CONTAINED SP ED,Q172,2021
6390,SELF CONTAINED SP ED,16.0,"$ 1,545,943",Cluster/Quota Teacher,Sub-Total,Q172,2021
6391,SOCIAL STUDIES,1.0,"$ 97,611",Cluster/Quota Teacher,SUBJECT SPECIFIC,Q172,2021
6392,SOCIAL STUDIES,4.0,"$ 390,444",Cluster/Quota Teacher,WHOLE CLASS,Q172,2021
6393,SOCIAL STUDIES,5.0,"$ 488,055",Cluster/Quota Teacher,Sub-Total,Q172,2021
6394,SETSS,1.0,"$ 97,611",Special Needs - Support Services,PUSH IN/PULL OUT,Q172,2021
6395,SPEECH,2.0,"$ 198,218",Special Needs - Support Services,PUSH-IN -special ed,Q172,2021
6396,Substance Abuse Prevention & Interv Special Annual,1.0,"$ 89,656",SAPIS,,Q172,2021
6397,Guidance Counselor,2.0,"$ 219,501",Guidance/Social Workers,,Q172,2021
6398,DC 37 Para More Than 20 Hrs,0.0,"$ 40,032",SBST,,Q172,2021
6399,School Psychologist Mandated Services,1.0,"$ 104,088",SBST,,Q172,2021
6400,IEP-ALTERNATE PLACEMENT,3.0,"$ 117,885",Paraprofessionals,,Q172,2021
6401,IEP-CRISIS MANAGEMENT(CIT),1.0,"$ 39,295",Paraprofessionals,,Q172,2021
6402,IEP-HEALTH,3.0,"$ 117,885",Paraprofessionals,,Q172,2021
6403,School Aides and Other Support Staff,0.0,"$ 131,582",School Aides and Other Support Staff,,Q172,2021
6404,ABSENCE COVERAGE,,"$ 277,141",Per Diem,,Q172,2021
6405,AFTER/BEFORE SCHOOL STUDENT PROGRAMS,,"$ 109,289",Per Session,,Q172,2021
6406,PARENT INVOLVEMENT,,"$ 2,371",Per Session,,Q172,2021
6407,PROFESSIONAL DEVELOPMENT,,"$ 16,910",Per Session,,Q172,2021
6408,PUPIL PERSONNEL SERVICES,,"$ 10,684",Per Session,,Q172,2021
6409,SPECIAL ED INSTRUCTIONAL PGMS,,$ 338,Per Session,,Q172,2021
6410,SUMMER STUDENT PROGRAMS,,"$ 50,231",Per Session,,Q172,2021
6411,Curriculum & Staff Development Contracts,,"$ 2,000",OTPS,,Q172,2021
6412,Data Processing Repair - Contractual,,"$ 6,118",OTPS,,Q172,2021
6413,Educational Software,,"$ 93,224",OTPS,,Q172,2021
6414,Equipment - General,,"$ 83,851",OTPS,,Q172,2021
6415,Library Books,,"$ 6,266",OTPS,,Q172,2021
6416,Non-Contractual Services,,"$ 3,510",OTPS,,Q172,2021
