,Category,funding_source,confidence,responses
4, ARPA Community Schools Supplement ,multiple,1.0,"you may have.

multiple. this funding is coming from the federal government through the american rescue plan act of 2021 (arpa), as well as from the new york city department of education (nycdoe)."
0, Specialized High School Admissions Testing ,multiple,0.8,"you have.

state. the funding described in this memorandum is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal law. in addition, the memo states that funds must be"
1, Specialized High School Admissions Testing ,multiple,0.8,".

multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal law. additionally, the new york city department of education is providing funds for the specialized"
2, Specialized High School Admissions Testing ,multiple,0.8,"multiple. this funding is allocated as part of the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which was signed into law by the president and is a combination of federal and state funds."
3, Specialized High School Admissions Testing ,multiple,0.8,"you may have.

multiple. the funding is coming from the federal government through the coronavirus response and relief supplemental appropriations act (crrsa), and is allocated to the city through the nycdoe division of finance."
4, Specialized High School Admissions Testing ,multiple,0.8,"you have.

multiple. this funding is coming from both the federal government (coronavirus response and relief supplemental appropriations act of 2021, or crrsa) and the city (new york city). the crrsa funds are temporary"
0, Remote Teaching Program Pilot ,multiple,0.8,"state. the funding for the remote teaching program is coming from the state of new york. this is indicated in the memorandum, which states that the program is an extension of the pilot established in the 2018 doe/uft contract, which was"
1, Remote Teaching Program Pilot ,multiple,0.8,"that you may have.

multiple. the funding for the remote teaching program pilot is likely coming from a combination of sources, including the city, state, and/or federal government. each of these entities may have their own policies and regulations regarding"
2, Remote Teaching Program Pilot ,multiple,0.8,"you may have.

multiple. the funding for the remote teaching program pilot appears to come from both city and state government, as it is referred to as the nyc doe/uft contract. the agreement between the two bodies has established an additional"
3, Remote Teaching Program Pilot ,multiple,0.8,"of your answer.

multiple. the funds for this program appear to come from both the city and state, as indicated by the language of the memorandum which references the 2018 doe/uft contract, which typically involves negotiations between the city and state"
4, Remote Teaching Program Pilot ,multiple,0.8,".

multiple. the funding for the remote teaching program pilot is likely coming from multiple sources, such as the city, state, and federal government. the memorandum does not provide any specific details as to the source of the allocation."
0, ARPA Academic Recovery Special Education Services ,n/a,0.0,
0, Long Term Absence Allocation ,state,0.6,":

multiple. the funding for school allocation memorandum no. 71, fy 2022 appears to be coming from both the city and state governments. the memorandum states that the funds will be distributed to the borough/citywide office (bco"
1, Long Term Absence Allocation ,state,0.6,".

multiple. this school allocation memorandum no. 71, fy 2022 indicates funding is coming from the division of the first deputy chancellor, which could include multiple sources including city or state government."
2, Long Term Absence Allocation ,state,0.6,".

state. this funding is coming from the state of new york, as indicated by the location name ""division of the first deputy chancellor"" which is part of the state government."
3, Long Term Absence Allocation ,state,0.6,".

state. this funding appears to be coming from the nycdoe division of finance, which is a state-level department."
4, Long Term Absence Allocation ,state,0.6,".

state. this school allocation memorandum no. 71, fy 2022 is coming from the nycdoe division of finance website navigation, which is part of the state government. the resources for long term absences are provided to the borough"
0, Postsecondary Readiness for ELLs Program ,multiple,0.8,"multiple. the funding is coming from both the federal government, through the american rescue plan act of 2021 (arpa), and the state government. the memorandum states that funds provided through arpa must be used to help meet a wide range of"
1, Postsecondary Readiness for ELLs Program ,multiple,0.8,"state. the text mentions the ""american rescue plan act (arpa)"" which is a federal law and refers to the ""united states department of education (usde)"", which is a federal agency. the funds must be spent in accordance with"
2, Postsecondary Readiness for ELLs Program ,multiple,0.8,"you might have.

multiple. the funding for the postsecondary readiness for ells program (prep) is mentioned in the memorandum as coming from the american rescue plan act of 2021 (arpa), which is a federal act."
3, Postsecondary Readiness for ELLs Program ,multiple,0.8,".

multiple. the funding for the postsecondary readiness for ells program (prep) is coming from the american rescue plan act (arpa), which is a federal law, as well as the state and local governments in accordance"
4, Postsecondary Readiness for ELLs Program ,multiple,0.8,":

multiple. the american rescue plan act of 2021 (arpa) provides federal funds, while the school districts must use state funds to meet the requirements outlined in the school allocation memorandum no. 72, fy 2022."
0, Career and Technical Education Expansion Initiatives ,multiple,0.6,".

multiple. the funding is coming from multiple sources, including perkins v grant funding, nysed program approval, and tax levy funds."
1, Career and Technical Education Expansion Initiatives ,multiple,0.6,"you may have.

multiple. the school allocation memo indicates that some of the funds are coming from perkins v grant funding, which is a federal source, and some of the funds are coming from tax levy funds, which are a local"
2, Career and Technical Education Expansion Initiatives ,multiple,0.6,"you have

state. the memorandum states that this funding is allocated to increase the time allocated for work-based learning (wbl) coordinators and/or teacher(s) to perform their wbl duties. this is an initiative from the"
3, Career and Technical Education Expansion Initiatives ,multiple,0.6,".

multiple. the memorandum allocates funds to increase the time allocated for work-based learning (wbl) coordinators and/or teacher(s) to perform their wbl duties. it does not specify if the funding is coming from"
4, Career and Technical Education Expansion Initiatives ,multiple,0.6,".

state"
0, ARPA Academic Recovery Screener Administration and Support ,multiple,1.0,".

multiple. the funding for academic recovery screener administration and support is coming from both the american rescue plan act (arpa) of 2021 and the nyc department of education (doe). arpa is a federal initiative, while doe"
1, ARPA Academic Recovery Screener Administration and Support ,multiple,1.0,"answer: multiple. this funding is coming from the federal government through the american rescue plan act of 2021 (arpa) and from the city through the new york city school allocation memorandum no. 74, fy 2022."
2, ARPA Academic Recovery Screener Administration and Support ,multiple,1.0,".

multiple. this allocation is being funded by the american rescue plan act of 2021 (arpa), which is a federal program. additionally, the funds are subject to monitoring and audit by the united states department of education (usde)."
3, ARPA Academic Recovery Screener Administration and Support ,multiple,1.0,".

multiple. this funding is coming from both the federal government (through the american rescue plan act of 2021) and the state government. additionally, the funds are administered by the nyc department of education division of finance."
4, ARPA Academic Recovery Screener Administration and Support ,multiple,1.0,".

multiple. the funding is coming from the american rescue plan act of 2021 (arpa), which is a federal act, as well as the nyc department of education (nycdoe)."
0, Junior Reserve Officers Training Corps (JROTC) ,multiple,1.0,"multiple. this memorandum allcates tax levy support to help defray costs associated with the jrotc program, suggesting that the funding comes from the city's taxes. additionally, the memorandum mentions additional funding being received from the armed forces r"
1, Junior Reserve Officers Training Corps (JROTC) ,multiple,1.0,".

multiple. this memorandum allocates tax levy support to help defray costs associated with the jrotc program currently located in seventeen high schools throughout the city. the tax levy funding should be used to offset salary costs for rotc instructors"
2, Junior Reserve Officers Training Corps (JROTC) ,multiple,1.0,".

multiple. this memorandum allocates tax levy support, which could be from a combination of federal, state, and city sources. additionally, the memorandum mentions that when the armed forces rotc grant is received, 50% of the salary"
3, Junior Reserve Officers Training Corps (JROTC) ,multiple,1.0,multiple. this memorandum allocates tax levy support which likely comes from the city budget and armed forces rotc reimbursements which would come from the federal government.
4, Junior Reserve Officers Training Corps (JROTC) ,multiple,1.0,"you may have.

multiple. the memorandum states that tax levy support will be allocated to help defray costs associated with the jrotc program, which implies the funding is coming from the city. however, the memorandum also states that the remaining"
0, Imagine Schools Innovation Grant ,multiple,0.8,".

multiple. the funding for this initiative is coming from the new york city department of education (nycdoe) division of finance website navigation, from existing schools' budgets, as well as from private partners."
1, Imagine Schools Innovation Grant ,multiple,0.8,".

multiple. this memorandum provides supplemental funding for imagine nyc schools, a public/private partnership, which suggests that funding is coming from both the government and private partnerships. further, the memorandum outlines funding being placed into the tl imagine schools and tl"
2, Imagine Schools Innovation Grant ,multiple,0.8,"you have.

multiple. this funding is coming from multiple sources, including the city, state, and federal government. the funding is being distributed through the new york city doe division of finance and is specifically for the imagine nyc schools initiative, a"
3, Imagine Schools Innovation Grant ,multiple,0.8,".

multiple. the funding is coming from a public/private partnership between the nyc department of education (city) and the private partner imagine nyc schools. the funding can be used to support the costs associated with otps, such as supplies and"
4, Imagine Schools Innovation Grant ,multiple,0.8,"state. this funding is from the state government, specifically the new york state department of education. the memorandum specifies that the funding is coming from the ""tl imagine schools"" allocation category, which is a part of the new york state department of"
0, Measures of Student Learning ,multiple,0.6,"or details.

state"
1, Measures of Student Learning ,multiple,0.6,".

state"
2, Measures of Student Learning ,multiple,0.6,".

multiple. this funding appears to be coming from multiple sources, including nyc, new york state, and the federal government. the memorandum states that schools will continue to receive doe-provided assessment materials and that nyc schools must implement advance, which"
3, Measures of Student Learning ,multiple,0.6,".

multiple. this funding appears to be coming from both the state and city government. the funding is based on new york state education law 3012-d, which would indicate that it is coming from the state. however, the funding is"
4, Measures of Student Learning ,multiple,0.6,".

multiple. this funding appears to be coming from both the city and state governments. the memorandum states that the funds are allocated in accordance with new york state education law 3012-d. therefore, funding appears to be coming from both"
0, Identity-Based Student Clubs ,multiple,0.8,".

multiple. this school allocation memorandum no. 78, fy 2022 mentions funding from ""fy 2021 allocations"" and ""fy 2022 awards"" which suggest both city and state funding. additionally, the memorandum does not directly provide any information about"
1, Identity-Based Student Clubs ,multiple,0.8,"/details.

multiple. this funding appears to be coming from multiple sources. the first is the office of safety and youth development (osyd) which conducted a second-round application process for new fy 2022 awards for identity-based clubs."
2, Identity-Based Student Clubs ,multiple,0.8,"as to where the funding might be coming from.

state. the funding for identity-based student clubs is coming from the new york state department of education (nycdoe). the memorandum mentions that the office of safety and youth development (os"
3, Identity-Based Student Clubs ,multiple,0.8,"multiple. the funding for identity-based student clubs is coming from multiple sources. the memorandum allocates $2,125 under the allocation category tl student club advisor ps (cw) for per session and $2,300 under allocation category tl"
4, Identity-Based Student Clubs ,multiple,0.8,".

multiple. the funding for identity-based student clubs is coming from multiple sources. the office of safety and youth development (osyd) conducted a second-round application process for new fy 2022 awards for identity-based clubs, and schools"
0, College & Career Readiness for MLs/ELLs Initiative ,multiple,1.0,".

multiple. the funding for the college & career readiness for mls/ells initiative is coming from both the city and the state. the funding will be allocated in galaxy in the tl ell initiative college ready allocation category, indicating"
1, College & Career Readiness for MLs/ELLs Initiative ,multiple,1.0,".

multiple. the funding for the college & career readiness for mls/ells initiative is coming from multiple sources including the city, state, and federal government. the funding will be allocated from tax levy funds, which could include funding"
2, College & Career Readiness for MLs/ELLs Initiative ,multiple,1.0,"multiple. this memorandum is from lindsey oates, who is the chief financial officer of the new york city department of education (nycdoe). it states that funding for the college & career readiness for mls/ells initiative will"
3, College & Career Readiness for MLs/ELLs Initiative ,multiple,1.0,".

multiple. this school allocation memorandum no. 79, fy 2022 comes from a variety of sources - the nycdoe division of finance, the chief financial officer, the bco directors of mlls/ells, and"
4, College & Career Readiness for MLs/ELLs Initiative ,multiple,1.0,".

multiple. this funding appears to come from multiple sources, including the city, state, and federal government. this is evidenced by references to various programs such as insight, targeted support and improvement (tsi) school, and galaxy,"
0," Health Education, Physical Education, and Student Wellness Initiatives ",multiple,1.0,".

multiple. the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) was signed into law by the president on december 27, 2020, which provides federal funding for health education, physical education, and student wellness"
1," Health Education, Physical Education, and Student Wellness Initiatives ",multiple,1.0,"for your answer.

multiple. the funding is coming from the federal government through the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) as well as the city of new york. crrsa funds are noted"
2," Health Education, Physical Education, and Student Wellness Initiatives ",multiple,1.0,".

multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is funded by the federal government, as well as from the nycdoe division of finance, which is"
3," Health Education, Physical Education, and Student Wellness Initiatives ",multiple,1.0,".

multiple. this funding is coming from both the federal government, via the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), and from the state of new york, via the new york state education department."
4," Health Education, Physical Education, and Student Wellness Initiatives ",multiple,1.0,".

multiple. the funding is coming from multiple sources. the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) provides funds from the federal government, while the new york city department of education (nycdoe"
0, Summer Rising - 12-Month Assistant Principal (AP) ,multiple,0.8,".

multiple. the allocation of funds for 12-month assistant principals is being provided to defray the summer costs from sam no. 07, which was allocated on may 17, 2021. this allocation is likely coming from multiple sources, such as"
1, Summer Rising - 12-Month Assistant Principal (AP) ,multiple,0.8,".

multiple. this funding allocated in school allocation memorandum no. 81, fy 2022 comes from both the city and state governments. the funding was initially allocated by the city on may 17, 2021 in sam no. 07 and is now"
2, Summer Rising - 12-Month Assistant Principal (AP) ,multiple,0.8,".

state. this school allocation memorandum is from the new york city department of education (nycdoe) division of finance. the funds are allocated to defray the summer costs for 12-month assistant principals and the allocation is $"
3, Summer Rising - 12-Month Assistant Principal (AP) ,multiple,0.8,"you have.

multiple. this funding is coming from multiple sources. the resources to operate fy 2022 summer rising were allocated on may 17, 2021 in sam no. 07, which indicates that the funds are coming from the city government. furthermore,"
4, Summer Rising - 12-Month Assistant Principal (AP) ,multiple,0.8,".

multiple. this memorandum allocates funds for 12-month assistant principals to defray summer costs, however, does not specify where the funds are coming from. it is possible that the funds are coming from multiple sources, including the city,"
0, Dream Squads,multiple,1.0,".

multiple. the funding for this memorandum is coming from both the federal government, through the coronavirus response and relief supplemental appropriations act (crrsa), and from the new york city department of education (nycdoe)."
1, Dream Squads,multiple,1.0,"multiple 

the funding for this school allocation memorandum no. 82, fy 2022 is coming from multiple sources. specifically it is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) which is"
2, Dream Squads,multiple,1.0,"as needed.

multiple"
3, Dream Squads,multiple,1.0,"multiple. the funding is coming from both the federal and city governments. the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, signed into law by the president on december 27, 2020, is a federal"
4, Dream Squads,multiple,1.0,"you may have.

multiple. this funding is coming from the federal government through the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) and from the state government."
0, Restorative Justice Action Teams,multiple,1.0,"multiple. this funding is coming from the federal government through the american rescue plan act of 2021 (arpa) as well as from the state. the funding from the state is noted in the memo, although it does not specify which state."
1, Restorative Justice Action Teams,multiple,1.0,"multiple. this funding is coming from the american rescue plan act of 2021 (arpa), which is funded by the federal government. it is allocated to the new york city department of education (nycdoe), which is associated with the city"
2, Restorative Justice Action Teams,multiple,1.0,"as to why you chose that.

multiple. the funding described in the memorandum is allocated from the american rescue plan act of 2021 (arpa), a federal program, as well as through a selection process by the office of school youth and community"
3, Restorative Justice Action Teams,multiple,1.0,".

multiple. the funds are coming from both the federal and state governments. the american rescue plan act of 2021 (arpa) was signed into law by the president, meaning the funds are coming from the federal government. additionally, new york"
4, Restorative Justice Action Teams,multiple,1.0,".

multiple. this funding is coming from the american rescue plan act (arpa) of 2021, which is a federal program, as well as the new york city department of education (nycdoe) division of finance, which is a"
0, Family Leadership and Digital Literacy for MLs/ELLs,multiple,1.0,"you have

multiple. this funding is coming from a combination of the city, state, and federal government. it states in the memorandum that these funds are from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa"
1, Family Leadership and Digital Literacy for MLs/ELLs,multiple,1.0,"multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is from both the state and federal government."
2, Family Leadership and Digital Literacy for MLs/ELLs,multiple,1.0,".

multiple. the funding for the family leadership and digital literacy for mls/ells program is coming from both the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), a federal law, and the"
3, Family Leadership and Digital Literacy for MLs/ELLs,multiple,1.0,"multiple. this funding is allocated through the coronavirus response and relief supplemental appropriations act of 2021 (crrsa). this is a federal law, so the funding comes from the federal government. the funds will be distributed to the city"
4, Family Leadership and Digital Literacy for MLs/ELLs,multiple,1.0,".

multiple. this funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, which is a federal act signed into law by the president. additionally, the funds are subject to monitoring and"
0, Sustainability Initiatives ,state,0.6,"or evidence you have.

state. the memorandum states that the funding is coming from the doe office of sustainability, which is a state-funded organization."
1, Sustainability Initiatives ,state,0.6,".

multiple. this school allocation memorandum states that the funds are being allocated by the doe office of sustainability. the doe is the department of education and is part of the state government. therefore, the funding is coming from the"
2, Sustainability Initiatives ,state,0.6,"you have.

state. this funding is coming from the new york state doe office of sustainability, which is funded by the state government."
3, Sustainability Initiatives ,state,0.6,".

multiple. the funding is being allocated by the nycdoe division of finance, which is a local government agency. it is likely the funds have been allocated by the city, state, and federal governments."
4, Sustainability Initiatives ,state,0.6,"state. the new york city department of education (nycdoe) is a state-level agency, which implies that this funding is coming from the state government."
0, School COVID-19 Register Relief Mid Year Adjustment ,multiple,1.0,".

multiple. the funding is coming from 78% city tax levy funds and 22% coronavirus response and relief supplemental appropriations act (crrsa) funds, which are federal funds."
1, School COVID-19 Register Relief Mid Year Adjustment ,multiple,1.0,".

multiple. the school covid-19 register relief mid-year adjustment restoration is funded by 78% of city tax levy funds and 22% of coronavirus response and relief supplemental appropriations act (crrsa) funds."
2, School COVID-19 Register Relief Mid Year Adjustment ,multiple,1.0,".

multiple. the funding for the school covid-19 register loss mid-year adjustment restoration is coming from both city tax levy funds (78%) and coronavirus response and relief supplemental appropriations act (crrsa) funds"
3, School COVID-19 Register Relief Mid Year Adjustment ,multiple,1.0,".

multiple. the funding is coming from both the state and federal government, with 78% of the funds being allocated from city tax levy funds and 22% of coronavirus response and relief supplemental appropriations act (crrsa) funds"
4, School COVID-19 Register Relief Mid Year Adjustment ,multiple,1.0,".

multiple. this school allocation memo states that the register relief is funded by 78% of city tax levy funds and 22% of coronavirus response and relief supplemental appropriations act (crrsa) funds. therefore, this"
0, Title III Immigrant Programs ,multiple,1.0,"multiple. this funding is coming from the federal government, from the every student succeeds act (formerly no child left behind act), title iii, part a."
1, Title III Immigrant Programs ,multiple,1.0,".

multiple. the funding is coming from the federal government as part of the every student succeeds act (formerly no child left behind act), title iii, part a, and from the city of new york as part of its consolidated"
2, Title III Immigrant Programs ,multiple,1.0,".

multiple. this funding comes from both the federal government (every student succeeds act; formerly no child left behind act, title iii, part a) and the state government (nysed)."
3, Title III Immigrant Programs ,multiple,1.0,".

multiple. the funding is coming from the federal government via the every student succeeds act (formerly no child left behind act), title iii, part a, as well as state and local sources, such as title i funds."
4, Title III Immigrant Programs ,multiple,1.0,".

multiple. this funding is coming from the federal every student succeeds act (formerly no child left behind act), title iii, part a, as well as state and city allocations."
0, Educator Pipeline Programs ,multiple,1.0,"you may have.

multiple. this school allocation memorandum no. 88, fy 2022 is from the new york city department of education, which is a government entity. the funding is likely to come from multiple sources, including but not limited"
1, Educator Pipeline Programs ,multiple,1.0,".

multiple. the urban teacher residency program is supported by a collaboration between the new york city department of education, queens college, and adelphi university. it is likely that funding is coming from multiple sources, including the state and city"
2, Educator Pipeline Programs ,multiple,1.0,".

multiple. this memorandum allocates funds to support programs that strengthen school leaders and educator pipelines, which may come from multiple sources such as the city, state, or federal government. it is not explicitly stated where the funds are coming from,"
3, Educator Pipeline Programs ,multiple,1.0,".

multiple. this allocation is coming from both the city and state governments, as referenced in the text as ""new york city department of education"" and ""queens college,"" both of which are city and state institutions. additionally, the allocation"
4, Educator Pipeline Programs ,multiple,1.0,"you can.

multiple. this allocation is coming from various sources, including funding from the city, state, and federal government. this memorandum allocates funds to cover the costs of establishing, developing, and running the urban teacher residency program,"
0, Civics for All: Participatory Budgeting ,multiple,1.0,".

multiple. the memorandum states that the funding ""is 100% tax levy and is intended to be used for any otps resource or service to facilitate the implementation of the selected proposal to benefit the school community,"" indicating that it is coming from"
1, Civics for All: Participatory Budgeting ,multiple,1.0,".

multiple. the funding is specifically from the new york city department of education, which is funded by the city, state, and federal governments."
2, Civics for All: Participatory Budgeting ,multiple,1.0,"you may have.

multiple. this funding is coming from both the city and state government as it is funded by the tax levy. additionally, the schools will also have access to accruals if their expenditures are below the allotted amount."
3, Civics for All: Participatory Budgeting ,multiple,1.0,".

multiple. the funding is coming from the city, state and federal government, as the memorandum specifies that it is 100% tax levy, which likely refers to taxes from both sources."
4, Civics for All: Participatory Budgeting ,multiple,1.0,".

multiple. the funding for this allocation is split between the city and state government; 100% of the funds come from the tax levy, which is paid to the city, and the civics for all team in the office of curric"
0, Innovative Education Models ,multiple,1.0,".

multiple. this funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa), which is a federal stimulus package. additionally, the outdoor learning, collider classroom, steam enrichment and school"
1, Innovative Education Models ,multiple,1.0,"multiple. the funding is coming from both the federal government, through the coronavirus response and relief supplemental appropriations act (crrsa), and from the city. the crrsa funds are temporary and are available for expenses incurred"
2, Innovative Education Models ,multiple,1.0,".

multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa) which is a federal stimulus bill, and nyc's department of education."
3, Innovative Education Models ,multiple,1.0,"you have.

multiple. the funding is coming from the federal coronavirus response and relief supplemental appropriations act (crrsa) as well as from the state budget."
4, Innovative Education Models ,multiple,1.0,"multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act (crrsa), which is a federal stimulus program. however, the new york city department of education (nycdoe) division of finance is"
0, Immigrant Ambassador Program ,multiple,1.0,"multiple. the funding for the immigrant ambassador program is coming from multiple sources, including the american rescue plan act of 2021 (arpa), which is a federal act, as well as the nyc department of education (nycdoe)."
1, Immigrant Ambassador Program ,multiple,1.0,".

multiple. the american rescue plan act of 2021 (arpa) is a federal law that provides resources for the immigrant ambassador program and the funding for the program is allocated from the federal government. additionally, schools may distribute the funding across"
2, Immigrant Ambassador Program ,multiple,1.0,"multiple. the funding appears to be coming from both the american rescue plan act (arpa) and the nycdoe division of finance. the arpa is a federal initiative, while the nycdoe division of finance is a city-"
3, Immigrant Ambassador Program ,multiple,1.0,".

multiple. this funding is coming from multiple sources, including the american rescue plan act of 2021 (arpa), which is a federal law, as well as the city, as the new york city department of education (nycdoe)"
4, Immigrant Ambassador Program ,multiple,1.0,".

multiple. the funding for the immigrant ambassador program is coming from multiple sources. the first is the american rescue plan act (arpa) of 2021, which is a federal law. additionally, the new york city department of education ("
0, OTPS Allocation for PSAL Program ,multiple,1.0,"you may have.

multiple. the funding is coming from multiple sources, including the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal law, as well as the nyc department of education's"
1, OTPS Allocation for PSAL Program ,multiple,1.0,"multiple. the funding is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) which is a federal act. this is noted in the first paragraph as crrsa funds, as well as in"
2, OTPS Allocation for PSAL Program ,multiple,1.0,"you may have

multiple. the funding is coming from multiple sources, including the coronavirus response and relief supplemental appropriations act of 2021 (crrsa) from the federal government, and from the office of psal, which appears to"
3, OTPS Allocation for PSAL Program ,multiple,1.0,".

multiple. the funding for psal activities is coming from the coronavirus response and relief supplemental appropriations act of 2021 (crrsa), which is a federal stimulus package. additionally, the allocations for each school were determined by the"
4, OTPS Allocation for PSAL Program ,multiple,1.0,".

multiple. the funding for the public schools athletic league (psal) program is coming from the coronavirus response and relief supplemental appropriations act (crrsa) of 2021, which is a federal law. additionally, there are"
0, Transcript Maintenance ,multiple,0.6,".

multiple. this memorandum allocates funds for schools to maintain transcripts for students of closed schools, which suggests that the funding for this purpose is coming from multiple sources. the memorandum states that schools should cover the cost of providing transcripts using"
1, Transcript Maintenance ,multiple,0.6,".

state. this funding is coming from the new york state department of education. the memorandum makes reference to chancellor's regulation a-820, which is a regulation set forth by the new york state department of education. it also references ""central"
2, Transcript Maintenance ,multiple,0.6,"state. the new york city department of education (nycdoe) division of finance is responsible for allocating funds to schools on behalf of the state government. the funds allocated are allocated from the state's budget, and the memorandum outlines"
3, Transcript Maintenance ,multiple,0.6,".

multiple. the memorandum makes no mention of the source of funding, so it is unclear whether the funding is coming from the state, federal, or city government, or a combination of these sources."
4, Transcript Maintenance ,multiple,0.6,".

multiple. the funding for transcript maintenance allocation is allocated from both city and state funds. in accordance with chancellor's regulation a-820, the schools are funded on a formula that considers demand for transcripts based on past enrollment and years since"
0, New School Planning Support ,multiple,1.0,"you may have.

multiple. the school allocation memorandum no. 94, fy 2022 specifies that the funds are to be allocated to support planning for new schools opening in the next school year. it is likely that these funds come from a"
1, New School Planning Support ,multiple,1.0,".

multiple. the school allocation memorandum no. 94, fy 2022 outlines that funds for this allocation are placed in the tl new school planning allocation category. the tl new school planning allocation category appears to be a combination of funds from the"
2, New School Planning Support ,multiple,1.0,".

multiple. the funds allocated in the school allocation memorandum no. 94, fy 2022 appear to come from multiple sources, including the city, state, and federal government. the memorandum states that the funds may be used to offset the"
3, New School Planning Support ,multiple,1.0,".

multiple. the school allocation memorandum no. 94, fy 2022 states that the funds for this allocation are placed in the tl new school planning allocation category. this does not specify the source of the funds and can indicate multiple sources of"
4, New School Planning Support ,multiple,1.0,". 

multiple. the funding appears to be coming from multiple sources, including the city, state, and federal government. the memorandum states that funds are placed in the tl new school planning allocation category, which could refer to a combination of the"
0, ARPA Computer Science for All ,multiple,0.8,"you may have.

multiple. the funding is coming from the american rescue plan act (arpa) of 2021 which is a federal act, as well as from the new york state computer science & digital fluency learning standards, which is a"
1, ARPA Computer Science for All ,multiple,0.8,".

multiple. the funding is coming from the federal government through the american rescue plan act of 2021 (arpa) and the state government through the new york state computer science & digital fluency learning standards."
2, ARPA Computer Science for All ,multiple,0.8,"you have.

multiple. the funding is coming from both the federal and state governments through the american rescue plan act of 2021 and state arpa guidance, respectively."
3, ARPA Computer Science for All ,multiple,0.8,state. the funding is coming from the state as outlined in the american rescue plan act of 2021 (arpa) and the state and federal arpa guidance. funds provided by these sources will be used to help meet a wide range of needs
4, ARPA Computer Science for All ,multiple,0.8,"multiple. this funding is coming from the american rescue plan act of 2021 (arpa), which is a federal law. the new york city department of education (nycdoe) is then using this funding to provide schools with funding to support"
0, Gifted and Talented Programs ,multiple,0.8,"multiple. this memorandum allocates supplemental funding to each school to support gifted and talented programs, which implies that the funding is coming from multiple sources like the city, state, and federal government."
1, Gifted and Talented Programs ,multiple,0.8,"multiple. the memorandum is from the nycdoe division of finance, which is part of the new york city government, and states that supplemental funding is allocated to schools. however, the memorandum does not provide any information about where the funds are"
2, Gifted and Talented Programs ,multiple,0.8,".

multiple. the memorandum states that funds are being allocated from the nycdoe division of finance, which likely draws funding from multiple sources, including the city, state, and federal government."
3, Gifted and Talented Programs ,multiple,0.8,"that you have.

multiple. the memorandum states that the funding is being allocated to schools to support gifted and talented programs, which suggests it could potentially be coming from multiple sources, such as the city, state, and/or federal"
4, Gifted and Talented Programs ,multiple,0.8,"state. the new york city department of education (nycdoe) is a state-level department, and this memorandum is coming from the nycdoe division of finance."
0, Mental Health Continuum ,multiple,0.8,".

multiple. the funding for this initiative is coming from multiple sources including the nyc department of education (nycdoe), health + hospitals (h+h), and the department of health and mental hygiene (dohmh)."
1, Mental Health Continuum ,multiple,0.8,".

state. this memorandum is from the nyc department of education (nycdoe), which is funded by the state government."
2, Mental Health Continuum ,multiple,0.8,".

multiple. the funding is provided by the nyc department of education (nycdoe), health + hospitals (h+h), and the department of health and mental hygiene (dohmh). these three organizations are funded by both"
3, Mental Health Continuum ,multiple,0.8,".

multiple. the funding for the mental health continuum initiative is provided by the nyc department of education (nycdoe), health + hospitals (h+h), and the department of health and mental hygiene (dohmh)."
4, Mental Health Continuum ,multiple,0.8,".

multiple. this memorandum is for an initiative between the nyc department of education (nycdoe), health + hospitals (h+h), and the department of health and mental hygiene (dohmh), so it is likely that"
0, Community Schools Expansion Planning ,multiple,1.0,".

multiple. the funding is coming from both the federal government through the american rescue plan act of 2021 (arpa) and the state government. the funds provided through arpa are temporary and supplemental and must be used to help meet a wide"
1, Community Schools Expansion Planning ,multiple,1.0,".

multiple. the american rescue plan act of 2021 (arpa) was signed into law by the president, and arpa funds are provided by the federal government. funds are also provided through the state and city governments."
2, Community Schools Expansion Planning ,multiple,1.0,".

multiple. the american rescue plan act of 2021 (arpa) was signed into law at the federal level, but the nycdoe will be overseeing the funding of the selected community schools. additionally, the funding is subject to monitoring and"
3, Community Schools Expansion Planning ,multiple,1.0,"multiple. the funding is coming from the american rescue plan act of 2021 (arpa), which is a federal act, as well as the nycdoe, which is a city agency."
4, Community Schools Expansion Planning ,multiple,1.0,".

multiple. the funding is coming from the federal government through the american rescue plan act of 2021 (arpa), but it is being dispersed by the new york city department of education (nycdoe)."
